The following table lists all of the possible IOSTAT errors encountered on the HPUX,
SunOS, IRIX 4 and IRIX 5 machines.  Use this table to translate an IOSTAT code which
is not translated by SS_IRET.  To translate, take the IOSTAT code returned by the
program and locate it under the appropriate column on the right-hand side.

This table was constructed using information derived from the following sources:
HPUX:	/usr/include/sys/errno.h
	/usr/lib/nls/C/f77_msgs.cat
	man pages for PERROR (3F)	

SunOS:	/usr/include/sys/errno.h
	man pages for INTRO (2) and PERROR (3F)

IRIX:  	/usr/include/sys/errno.h
	man pages for INTRO (2) and PERROR (3F)

A number with a following asterisk indicates that there is another instance of the same
IOSTAT number elsewhere in the table.  

A sole asterisk indicates that there is no IOSTAT number which correpsonds to the 
given message.

!#      Message							 HP   SUN   IX4   IX5
!-      -------                                          	---   ---   ---   ---
  1 /* Not super-user						  1     1     1     1
  2 /* No such file or directory				  2     2     2     2
  3 /* No such process						  3     3     3     3
  4 /* interrupted system call					  4     4     4     4
  5 /* I/O error						  5     5     5     5
  6 /* No such device or address				  6     6     6     6
  7 /* Arg list too long					  7     7     7     7 
  8 /* Exec format error					  8     8     8     8
  9 /* Bad file number						  9     9     9     9
 10 /* No children						 10    10    10    10
 11 /* No more processes					 11    11     *    11
 12 /* Not enough core						 12    12     *    12
 13 /* Permission denied					 13    13    13    13
 14 /* Bad address						 14    14    14    14
 15 /* Block device required					 15    15    15    15
 16 /* Mount device busy					 16    16    16    16
 17 /* File exists						 17    17    17    17
 18 /* Cross-device link					 18    18    18    18
 19 /* No such device						 19    19    19    19
 20 /* Not a directory						 20    20    20    20
 21 /* Is a directory						 21    21    21    21
 22 /* Invalid argument						 22    22    22    22
 23 /* File table overflow					 23    23    23    23
 24 /* Too many open files					 24    24    24    24
 25 /* Not a typewriter						 25    25    25    25
 26 /* Text file busy						 26    26    26    26
 27 /* File too large						 27    27    27    27
 28 /* No space left on device					 28    28    28    28
 29 /* Illegal seek						 29    29    29    29
 30 /* Read only file system					 30    30    30    30
 31 /* Too many links						 31    31    31    31
 32 /* Broken pipe						 32    32    32    32
 33 /* Argument too large					  *    33    33    33
 34 /* Result too large						  *    34    34    34
 35 /* No message of desired type				 35    75    35    35
 36 /* Identifier removed					 36    77    36    36
 37 /* Channel number out of range				 37     *    37    37
 38 /* Level 2 not synchronized					 38     *    38    38
 39 /* Level 3 halted						 39     *    39    39
 40 /* Level 3 reset						 40     *    40    40
 41 /* Link number out of range					 41     *    41    41	
 42 /* Protocol driver not attached				 42     *    42    42
 43 /* No CSI structure available    				 43     *    43    43
 44 /* Level 2 halted						 44     *    44    44
 45 /* A deadlock would occur					 45    78    45    45
 46 /* System record lock table was full 			 46    79    46    46
 47 /* Illegal byte sequence					 47     *     *    88
 48 /* Address already in use					226    48   114*  125*
 49 /* Can't assign requested address				227    49   115*  126*
 50 /* Machine is not on the network				 50    80    64    64
 51 /* no data (for no delay io)				 51     *    61    61
 52 /* timer expired						 52    73    62    62
 53 /* out of streams resources					 53    74    63    63
 54 /* Device not a stream					 54    72    60    60
 55 /* Package not installed 					 55     *    65    65
 56 /* Socket is already connected				234    56   122*  133*
 57 /* the link has been severed				 57    82    67    67
 58 /* advertise error						 58    83    68    68
 59 /* srmount error						 59    84    69    69
 60 /* Communication error on send				 60    85    70    70
 61 /* Protocol error						 61    86    71    71
 62 /* Too many levels of symbolic links			249    62   130*    *
 63 /* File name too long  					248    63   131*    *
 64 /* multihop attempted					 64    87    74    74
 65 /* No route to host						242    65   129*  148*
 66 /* Cross mount point (not really error)			 66    88     *     *	
 67 /* trying to read unreadable message			 67    76    77    77
 68 /* For Sun compatibilty, will not occur.			 68     *     *     *
 69 /* Disc quota exceeded					 69    69   133* 1133
 70 /* Stale NFS file handle					 70    70   134*  151*
 71 /* Too many levels of remote in path			 71    71   135* 1135
 77 /* Identifier removed					  *    77     *     *
 80 /* Name not unique on network				  *     *    80    80
 81 /* Object is remote						  *    81    66    66
 82 /* Remote address changed					  *    89    82    82
 83 /* Cannot access a needed shared library			  *     *    83    83
 84 /* Accessing a corrupted shared library. 			  *     *    84    84
 85 /* .lib section in a.out corrupted.				  *     *    85    85
 86 /* Attempting to link in too many libs.			  *     *    86    86
 87 /* Cannot exec a shared library directly.			  *     *    87    87
 88 /* IRIX uses EINVAL; POSIX wants ENOSYS.			  *     *    88     *
 89 /* Unsupported file system operation.			  *     *     *    89
 90 /* Symbolic file loop.					  *     *     *    90
 91 /* Restartable system call.					  *     *     *    91
