B00000 SWS                               6189 -15593   2
<AREA>SWS<NAT_CODE>AK09<GACC>Alaska
2664                 63.675   60.360 -152.079 -160.200   62.799 -152.081
   62.797 -152.081   62.797 -152.086   62.797 -152.091   62.797 -152.096
   62.797 -152.101   62.797 -152.106   62.797 -152.110   62.792 -152.111
   62.787 -152.111   62.783 -152.111   62.783 -152.116   62.783 -152.121
   62.783 -152.126   62.783 -152.131   62.783 -152.135   62.783 -152.140
   62.778 -152.140   62.773 -152.140   62.769 -152.140   62.768 -152.146
   62.768 -152.151   62.768 -152.157   62.768 -152.163   62.768 -152.168
   62.768 -152.174   62.763 -152.174   62.758 -152.174   62.753 -152.174
   62.748 -152.174   62.742 -152.173   62.737 -152.173   62.732 -152.173
   62.729 -152.173   62.725 -152.173   62.725 -152.179   62.725 -152.184
   62.725 -152.189   62.725 -152.195   62.725 -152.200   62.725 -152.206
   62.725 -152.211   62.725 -152.216   62.725 -152.222   62.725 -152.227
   62.725 -152.232   62.725 -152.238   62.725 -152.243   62.725 -152.249
   62.725 -152.254   62.725 -152.259   62.725 -152.265   62.725 -152.270
   62.725 -152.275   62.725 -152.281   62.725 -152.286   62.725 -152.291
   62.725 -152.297   62.725 -152.302   62.725 -152.308   62.725 -152.313
   62.725 -152.319   62.725 -152.324   62.726 -152.329   62.726 -152.335
   62.726 -152.340   62.726 -152.346   62.726 -152.351   62.726 -152.357
   62.726 -152.362   62.722 -152.362   62.718 -152.362   62.713 -152.362
   62.707 -152.362   62.702 -152.362   62.696 -152.362   62.691 -152.362
   62.686 -152.362   62.681 -152.362   62.676 -152.362   62.671 -152.362
   62.666 -152.362   62.661 -152.362   62.656 -152.362   62.650 -152.362
   62.645 -152.362   62.639 -152.362   62.639 -152.368   62.639 -152.373
   62.639 -152.379   62.639 -152.384   62.639 -152.390   62.639 -152.396
   62.639 -152.401   62.639 -152.407   62.639 -152.412   62.639 -152.418
   62.639 -152.423   62.639 -152.429   62.639 -152.434   62.639 -152.440
   62.639 -152.445   62.639 -152.451   62.639 -152.457   62.639 -152.462
   62.639 -152.468   62.639 -152.473   62.639 -152.479   62.639 -152.484
   62.639 -152.490   62.639 -152.495   62.639 -152.500   62.639 -152.506
   62.639 -152.511   62.639 -152.517   62.639 -152.522   62.639 -152.528
   62.639 -152.533   62.639 -152.538   62.639 -152.544   62.639 -152.549
   62.639 -152.555   62.639 -152.560   62.639 -152.566   62.639 -152.571
   62.639 -152.577   62.639 -152.583   62.639 -152.588   62.639 -152.594
   62.639 -152.600   62.639 -152.605   62.639 -152.611   62.639 -152.617
   62.639 -152.623   62.639 -152.628   62.639 -152.634   62.639 -152.640
   62.639 -152.645   62.639 -152.651   62.639 -152.657   62.639 -152.662
   62.639 -152.667   62.639 -152.673   62.639 -152.678   62.639 -152.684
   62.639 -152.689   62.639 -152.694   62.639 -152.700   62.639 -152.705
   62.639 -152.710   62.639 -152.716   62.639 -152.721   62.639 -152.727
   62.639 -152.732   62.639 -152.737   62.634 -152.737   62.629 -152.737
   62.623 -152.737   62.618 -152.737   62.613 -152.737   62.608 -152.737
   62.603 -152.737   62.598 -152.737   62.592 -152.737   62.587 -152.736
   62.582 -152.736   62.577 -152.736   62.572 -152.736   62.567 -152.736
   62.562 -152.736   62.557 -152.736   62.552 -152.736   62.552 -152.742
   62.552 -152.747   62.552 -152.752   62.552 -152.758   62.552 -152.763
   62.552 -152.769   62.552 -152.774   62.552 -152.779   62.552 -152.785
   62.552 -152.791   62.552 -152.796   62.552 -152.802   62.552 -152.808
   62.552 -152.813   62.552 -152.819   62.552 -152.824   62.552 -152.830
   62.552 -152.836   62.552 -152.842   62.552 -152.847   62.552 -152.853
   62.552 -152.858   62.552 -152.864   62.552 -152.870   62.552 -152.875
   62.552 -152.880   62.552 -152.884   62.547 -152.884   62.541 -152.884
   62.536 -152.884   62.531 -152.884   62.526 -152.884   62.521 -152.884
   62.516 -152.884   62.511 -152.884   62.506 -152.884   62.501 -152.884
   62.496 -152.884   62.490 -152.884   62.484 -152.884   62.479 -152.884
   62.473 -152.884   62.467 -152.884   62.462 -152.884   62.456 -152.884
   62.450 -152.884   62.445 -152.884   62.439 -152.884   62.433 -152.884
   62.428 -152.884   62.422 -152.884   62.417 -152.884   62.411 -152.884
   62.405 -152.884   62.400 -152.884   62.395 -152.884   62.390 -152.884
   62.385 -152.884   62.380 -152.884   62.375 -152.884   62.370 -152.884
   62.365 -152.884   62.359 -152.884   62.354 -152.884   62.348 -152.884
   62.343 -152.884   62.337 -152.884   62.332 -152.884   62.327 -152.884
   62.321 -152.884   62.315 -152.884   62.310 -152.884   62.304 -152.884
   62.298 -152.884   62.293 -152.884   62.292 -152.884   62.292 -152.889
   62.292 -152.933   62.293 -152.972   62.292 -152.995   62.292 -153.010
   62.292 -153.040   62.292 -153.070   62.271 -153.070   62.241 -153.070
   62.206 -153.070   62.206 -153.049   62.206 -153.028   62.188 -153.028
   62.164 -153.028   62.142 -153.028   62.119 -153.028   62.097 -153.028
   62.052 -153.028   62.033 -153.028   62.020 -153.028   62.004 -153.028
   61.997 -153.028   61.973 -153.028   61.946 -153.029   61.918 -153.029
   61.893 -153.028   61.859 -153.029   61.859 -153.009   61.859 -152.990
   61.859 -152.984   61.836 -152.984   61.807 -152.984   61.772 -152.983
   61.741 -152.984   61.717 -152.984   61.686 -152.983   61.658 -152.984
   61.626 -152.985   61.599 -152.984   61.574 -152.985   61.543 -152.985
   61.512 -152.985   61.512 -152.955   61.277 -153.167   61.013 -153.427
   60.907 -154.382   60.907 -154.386   60.790 -155.390   60.723 -155.961
   60.722 -155.963   60.580 -157.170   60.480 -158.160   60.620 -159.030
   60.583 -159.198   60.582 -159.199   60.575 -159.234   60.360 -160.198
   60.360 -160.200   61.170 -159.770   61.690 -160.100   61.820 -159.250
   62.093 -158.139   62.122 -158.021   62.130 -157.990   62.550 -157.340
   63.150 -156.229   63.550 -154.330   63.626 -154.120   63.624 -154.118
   63.622 -154.116   63.619 -154.111   63.617 -154.107   63.615 -154.102
   63.613 -154.099   63.611 -154.095   63.608 -154.091   63.607 -154.087
   63.606 -154.081   63.607 -154.078   63.607 -154.075   63.608 -154.069
   63.608 -154.066   63.609 -154.063   63.611 -154.059   63.611 -154.055
   63.612 -154.052   63.614 -154.047   63.616 -154.042   63.617 -154.037
   63.620 -154.032   63.621 -154.028   63.622 -154.025   63.623 -154.023
   63.625 -154.018   63.627 -154.015   63.629 -154.011   63.631 -154.008
   63.632 -154.005   63.633 -154.002   63.634 -153.999   63.636 -154.000
   63.641 -154.003   63.643 -154.007   63.646 -154.014   63.649 -154.017
   63.652 -154.017   63.655 -154.017   63.656 -154.016   63.658 -154.011
   63.658 -154.008   63.659 -154.003   63.660 -153.999   63.662 -153.996
   63.662 -153.995   63.664 -153.987   63.664 -153.982   63.665 -153.978
   63.667 -153.973   63.670 -153.970   63.672 -153.968   63.672 -153.959
   63.671 -153.951   63.671 -153.945   63.673 -153.938   63.675 -153.932
   63.675 -153.922   63.675 -153.916   63.674 -153.912   63.673 -153.906
   63.673 -153.902   63.673 -153.898   63.672 -153.894   63.672 -153.888
   63.671 -153.883   63.671 -153.880   63.671 -153.875   63.670 -153.870
   63.670 -153.867   63.669 -153.863   63.669 -153.858   63.667 -153.851
   63.667 -153.848   63.666 -153.844   63.665 -153.840   63.663 -153.840
   63.661 -153.839   63.659 -153.838   63.658 -153.835   63.657 -153.833
   63.655 -153.832   63.653 -153.832   63.652 -153.831   63.651 -153.830
   63.649 -153.829   63.647 -153.830   63.645 -153.831   63.643 -153.830
   63.641 -153.830   63.639 -153.828   63.638 -153.829   63.636 -153.829
   63.635 -153.828   63.635 -153.826   63.632 -153.826   63.630 -153.827
   63.629 -153.827   63.627 -153.825   63.625 -153.823   63.624 -153.822
   63.623 -153.822   63.623 -153.822   63.623 -153.819   63.621 -153.814
   63.619 -153.813   63.617 -153.812   63.615 -153.811   63.613 -153.808
   63.612 -153.805   63.611 -153.803   63.610 -153.798   63.610 -153.794
   63.610 -153.789   63.612 -153.785   63.613 -153.781   63.613 -153.776
   63.614 -153.772   63.613 -153.768   63.611 -153.766   63.609 -153.762
   63.608 -153.757   63.607 -153.752   63.606 -153.747   63.606 -153.743
   63.605 -153.740   63.605 -153.737   63.605 -153.734   63.605 -153.729
   63.606 -153.723   63.606 -153.718   63.606 -153.714   63.604 -153.713
   63.602 -153.712   63.600 -153.706   63.599 -153.702   63.596 -153.704
   63.594 -153.705   63.592 -153.703   63.593 -153.699   63.595 -153.697
   63.595 -153.692   63.593 -153.687   63.591 -153.684   63.589 -153.681
   63.587 -153.677   63.585 -153.676   63.583 -153.674   63.582 -153.671
   63.582 -153.668   63.582 -153.664   63.582 -153.660   63.584 -153.656
   63.586 -153.655   63.588 -153.653   63.588 -153.649   63.586 -153.644
   63.586 -153.640   63.584 -153.637   63.581 -153.633   63.579 -153.631
   63.577 -153.629   63.575 -153.626   63.573 -153.622   63.571 -153.618
   63.569 -153.620   63.567 -153.622   63.565 -153.624   63.564 -153.625
   63.561 -153.625   63.560 -153.623   63.559 -153.619   63.558 -153.614
   63.558 -153.609   63.555 -153.607   63.553 -153.606   63.551 -153.602
   63.550 -153.599   63.552 -153.594   63.553 -153.589   63.553 -153.585
   63.552 -153.580   63.550 -153.576   63.549 -153.572   63.547 -153.567
   63.549 -153.566   63.549 -153.565   63.549 -153.564   63.547 -153.562
   63.547 -153.560   63.546 -153.560   63.544 -153.561   63.544 -153.563
   63.543 -153.564   63.542 -153.564   63.541 -153.566   63.540 -153.563
   63.540 -153.565   63.539 -153.563   63.537 -153.563   63.535 -153.566
   63.533 -153.567   63.531 -153.567   63.532 -153.565   63.534 -153.563
   63.535 -153.562   63.537 -153.558   63.537 -153.554   63.536 -153.552
   63.533 -153.550   63.530 -153.548   63.527 -153.546   63.526 -153.543
   63.526 -153.540   63.527 -153.537   63.529 -153.538   63.530 -153.542
   63.531 -153.545   63.532 -153.545   63.533 -153.543   63.532 -153.539
   63.532 -153.534   63.533 -153.530   63.535 -153.530   63.535 -153.533
   63.536 -153.539   63.537 -153.542   63.539 -153.542   63.540 -153.538
   63.541 -153.533   63.543 -153.531   63.545 -153.533   63.547 -153.536
   63.548 -153.538   63.548 -153.542   63.549 -153.547   63.550 -153.548
   63.551 -153.548   63.551 -153.545   63.552 -153.542   63.552 -153.539
   63.552 -153.534   63.552 -153.531   63.553 -153.528   63.553 -153.527
   63.553 -153.526   63.552 -153.521   63.554 -153.518   63.556 -153.519
   63.557 -153.523   63.557 -153.523   63.557 -153.524   63.559 -153.528
   63.561 -153.528   63.562 -153.524   63.562 -153.520   63.563 -153.516
   63.564 -153.513   63.564 -153.510   63.565 -153.507   63.567 -153.504
   63.569 -153.501   63.572 -153.501   63.572 -153.501   63.573 -153.502
   63.576 -153.502   63.576 -153.499   63.575 -153.495   63.575 -153.495
   63.575 -153.494   63.574 -153.492   63.571 -153.492   63.569 -153.492
   63.568 -153.487   63.570 -153.485   63.571 -153.485   63.573 -153.482
   63.573 -153.477   63.572 -153.473   63.574 -153.468   63.575 -153.463
   63.576 -153.461   63.578 -153.461   63.580 -153.455   63.582 -153.449
   63.581 -153.446   63.582 -153.445   63.581 -153.441   63.579 -153.442
   63.577 -153.446   63.577 -153.448   63.577 -153.455   63.575 -153.457
   63.573 -153.457   63.572 -153.459   63.570 -153.458   63.568 -153.454
   63.568 -153.450   63.569 -153.446   63.570 -153.440   63.571 -153.437
   63.571 -153.436   63.571 -153.431   63.571 -153.424   63.570 -153.422
   63.568 -153.422   63.567 -153.426   63.567 -153.430   63.565 -153.435
   63.563 -153.438   63.563 -153.435   63.562 -153.432   63.562 -153.427
   63.560 -153.426   63.559 -153.422   63.561 -153.417   63.563 -153.418
   63.563 -153.418   63.565 -153.418   63.567 -153.415   63.566 -153.411
   63.566 -153.408   63.566 -153.404   63.566 -153.404   63.568 -153.399
   63.568 -153.398   63.569 -153.399   63.571 -153.396   63.572 -153.393
   63.572 -153.390   63.570 -153.389   63.570 -153.390   63.569 -153.390
   63.567 -153.392   63.567 -153.388   63.568 -153.386   63.569 -153.384
   63.569 -153.380   63.569 -153.380   63.568 -153.379   63.568 -153.378
   63.567 -153.379   63.566 -153.379   63.565 -153.380   63.564 -153.376
   63.565 -153.372   63.563 -153.371   63.561 -153.369   63.559 -153.370
   63.557 -153.374   63.557 -153.374   63.556 -153.374   63.555 -153.371
   63.554 -153.368   63.554 -153.365   63.554 -153.361   63.553 -153.360
   63.552 -153.361   63.551 -153.358   63.550 -153.361   63.548 -153.364
   63.547 -153.368   63.546 -153.365   63.544 -153.362   63.543 -153.359
   63.542 -153.356   63.542 -153.353   63.542 -153.352   63.543 -153.351
   63.543 -153.348   63.543 -153.346   63.543 -153.344   63.543 -153.344
   63.541 -153.341   63.542 -153.338   63.542 -153.334   63.543 -153.332
   63.543 -153.328   63.543 -153.324   63.541 -153.322   63.540 -153.324
   63.540 -153.325   63.539 -153.324   63.539 -153.328   63.539 -153.334
   63.538 -153.338   63.535 -153.341   63.534 -153.340   63.534 -153.338
   63.533 -153.338   63.533 -153.333   63.531 -153.331   63.529 -153.328
   63.526 -153.326   63.524 -153.324   63.522 -153.323   63.520 -153.322
   63.518 -153.321   63.515 -153.320   63.513 -153.319   63.511 -153.318
   63.509 -153.318   63.507 -153.321   63.507 -153.321   63.507 -153.320
   63.504 -153.316   63.502 -153.316   63.500 -153.316   63.498 -153.316
   63.496 -153.316   63.495 -153.316   63.493 -153.317   63.492 -153.318
   63.491 -153.315   63.490 -153.313   63.488 -153.313   63.488 -153.312
   63.485 -153.311   63.483 -153.308   63.481 -153.306   63.480 -153.304
   63.479 -153.301   63.477 -153.300   63.474 -153.297   63.473 -153.299
   63.472 -153.301   63.470 -153.300   63.468 -153.298   63.467 -153.297
   63.466 -153.298   63.465 -153.297   63.463 -153.297   63.462 -153.299
   63.462 -153.301   63.461 -153.303   63.461 -153.308   63.459 -153.312
   63.456 -153.313   63.454 -153.314   63.452 -153.317   63.450 -153.318
   63.448 -153.318   63.447 -153.321   63.447 -153.325   63.449 -153.327
   63.448 -153.332   63.446 -153.332   63.446 -153.334   63.444 -153.336
   63.441 -153.336   63.439 -153.337   63.438 -153.335   63.436 -153.336
   63.435 -153.331   63.434 -153.330   63.433 -153.326   63.433 -153.326
   63.433 -153.324   63.432 -153.323   63.431 -153.326   63.429 -153.326
   63.429 -153.329   63.429 -153.329   63.429 -153.332   63.428 -153.333
   63.426 -153.333   63.426 -153.332   63.424 -153.334   63.422 -153.334
   63.419 -153.331   63.417 -153.329   63.415 -153.330   63.414 -153.331
   63.412 -153.331   63.411 -153.326   63.411 -153.322   63.409 -153.319
   63.408 -153.322   63.407 -153.327   63.405 -153.329   63.403 -153.329
   63.402 -153.327   63.402 -153.325   63.401 -153.322   63.400 -153.320
   63.399 -153.323   63.399 -153.325   63.397 -153.330   63.396 -153.332
   63.396 -153.333   63.395 -153.331   63.394 -153.323   63.393 -153.319
   63.390 -153.317   63.389 -153.315   63.388 -153.311   63.388 -153.306
   63.387 -153.301   63.385 -153.298   63.384 -153.293   63.384 -153.289
   63.384 -153.287   63.385 -153.284   63.387 -153.280   63.388 -153.275
   63.389 -153.273   63.390 -153.273   63.392 -153.276   63.393 -153.272
   63.393 -153.267   63.393 -153.264   63.392 -153.262   63.392 -153.260
   63.393 -153.255   63.391 -153.252   63.390 -153.247   63.391 -153.242
   63.392 -153.246   63.394 -153.246   63.394 -153.246   63.395 -153.247
   63.397 -153.246   63.399 -153.242   63.400 -153.240   63.400 -153.238
   63.400 -153.238   63.400 -153.236   63.400 -153.233   63.400 -153.231
   63.402 -153.232   63.403 -153.234   63.403 -153.233   63.404 -153.234
   63.405 -153.235   63.406 -153.231   63.406 -153.227   63.406 -153.224
   63.405 -153.223   63.405 -153.222   63.405 -153.220   63.407 -153.219
   63.406 -153.214   63.406 -153.211   63.407 -153.210   63.409 -153.209
   63.408 -153.205   63.408 -153.199   63.410 -153.197   63.411 -153.201
   63.411 -153.198   63.412 -153.196   63.413 -153.199   63.414 -153.197
   63.414 -153.192   63.414 -153.188   63.414 -153.184   63.413 -153.181
   63.412 -153.182   63.411 -153.180   63.409 -153.183   63.407 -153.184
   63.406 -153.180   63.408 -153.177   63.409 -153.176   63.410 -153.173
   63.409 -153.169   63.408 -153.168   63.407 -153.166   63.407 -153.165
   63.408 -153.160   63.410 -153.157   63.411 -153.157   63.413 -153.155
   63.412 -153.151   63.411 -153.151   63.411 -153.151   63.411 -153.151
   63.409 -153.149   63.410 -153.146   63.411 -153.145   63.413 -153.140
   63.413 -153.136   63.412 -153.135   63.410 -153.138   63.409 -153.137
   63.408 -153.136   63.407 -153.132   63.408 -153.130   63.408 -153.125
   63.407 -153.119   63.406 -153.117   63.405 -153.117   63.403 -153.119
   63.402 -153.117   63.401 -153.115   63.399 -153.116   63.399 -153.117
   63.398 -153.116   63.396 -153.116   63.394 -153.116   63.392 -153.119
   63.389 -153.124   63.389 -153.124   63.389 -153.122   63.388 -153.114
   63.387 -153.108   63.385 -153.105   63.382 -153.104   63.381 -153.104
   63.380 -153.105   63.380 -153.104   63.379 -153.101   63.378 -153.099
   63.379 -153.095   63.377 -153.090   63.376 -153.088   63.375 -153.090
   63.373 -153.091   63.372 -153.087   63.373 -153.084   63.373 -153.081
   63.371 -153.076   63.369 -153.072   63.368 -153.069   63.367 -153.070
   63.365 -153.070   63.365 -153.067   63.364 -153.065   63.363 -153.061
   63.363 -153.061   63.360 -153.058   63.358 -153.056   63.356 -153.051
   63.355 -153.047   63.354 -153.043   63.356 -153.039   63.357 -153.031
   63.358 -153.025   63.359 -153.017   63.359 -153.013   63.358 -153.010
   63.359 -153.008   63.359 -153.004   63.360 -152.999   63.359 -152.995
   63.358 -152.991   63.357 -152.986   63.356 -152.981   63.356 -152.977
   63.355 -152.972   63.355 -152.968   63.354 -152.964   63.354 -152.959
   63.353 -152.955   63.352 -152.951   63.350 -152.946   63.349 -152.942
   63.348 -152.938   63.347 -152.934   63.347 -152.930   63.346 -152.925
   63.345 -152.922   63.346 -152.916   63.345 -152.907   63.342 -152.904
   63.341 -152.901   63.340 -152.898   63.341 -152.893   63.342 -152.881
   63.340 -152.869   63.339 -152.865   63.339 -152.857   63.337 -152.848
   63.335 -152.844   63.334 -152.843   63.333 -152.839   63.332 -152.834
   63.332 -152.830   63.332 -152.828   63.333 -152.820   63.334 -152.813
   63.333 -152.803   63.333 -152.796   63.334 -152.794   63.334 -152.790
   63.334 -152.787   63.334 -152.783   63.335 -152.782   63.334 -152.779
   63.333 -152.777   63.333 -152.777   63.333 -152.775   63.330 -152.767
