
 SNPARM = PRES;TMPC;HGHT                                                        

 STID = STANDARD      STNM =            TIME = 991231/1200         
 SLAT =   0.00     SLON =     0.00   SELV =     0.0
 STIM =  1200

      PRES     TMPC     HGHT
   1013.25    15.00     0.00
   1000.00    14.20   111.00
    975.00    13.00   323.00
    950.00    11.40   540.00
    925.00    10.00   762.00
    900.00     8.60   989.00
    875.00     7.00  1220.00 
    850.00     5.60  1457.00
    825.00     4.00  1700.00
    800.00     2.40  1949.00
    775.00     0.60  2204.00
    750.00    -1.00  2466.00
    725.00    -2.70  2735.00
    700.00    -4.50  3012.00
    675.00    -6.50  3297.00
    650.00    -8.30  3591.00
    625.00   -10.30  3894.00
    600.00   -12.30  4206.00
    575.00   -14.50  4530.00
    550.00   -16.70  4865.00
    525.00   -18.90  5213.00
    500.00   -21.30  5574.00
    475.00   -23.70  5951.00
    450.00   -26.30  6344.00
    425.00   -28.90  6755.00
    400.00   -31.70  7185.00
    375.00   -34.70  7639.00
    350.00   -37.70  8117.00
    325.00   -41.10  8624.00
    300.00   -44.50  9164.00
    275.00   -48.30  9741.00
    250.00   -52.30 10363.00
    226.00   -56.50 11000.00
    225.00   -56.50 11037.00
    200.00   -56.50 11784.00
    175.00   -56.50 12631.00
    150.00   -56.50 13608.00
    125.00   -56.50 14765.00
    100.00   -56.50 16180.00
     75.00   -56.50 18004.00
     55.00   -56.50 20000.00
     50.00   -55.90 20576.00
     25.00   -51.50 25029.00
