! GRIB2  - NCEP Local Parameter Table
!
!D#  = Discipline number
!CT# = Category number (Octet 10, Code Table 4.2)
!ID# = Parameter number (Octet 11)
!PD# = Product Definition Template number (Octet 8-9, Code Table 4.0)
!
! temperature
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 000 000 009 Temperature                      K                    TMP              0  -9999.00
000 000 021 000 Apparent Temperature             K                    APTMP            0  -9999.00
000 000 192 000 Snow Phase Change Heat Flux      W m**-2              FXSN             0  -9999.00
000 000 192 001 Snow Phase Change Heat Flux      W m**-2              FXSN             0  -9999.00
000 000 192 008 Max horiz. wind 10m AGLpast hour m s**-1              MAXUW            0  -9999.00
000 000 193 000 Temp. tend. by all radiation     K s**-1              TTRAD            0  -9999.00
000 000 193 008 Temp. tend. by all radiation     K s**-1              TTRAD            0  -9999.00
000 000 194 008 Relative Error Variance          -                    REV              0  -9999.00
000 000 195 008 Large scale condensate heat rate K s**-1              LRGHR            0  -9999.00
000 000 196 008 Deep convective heating rate     K s**-1              CNVHR            0  -9999.00
000 000 197 008 Total Downward Heat Flux at Sfc  W m**-2              THFLX            0  -9999.00
000 000 198 008 Temp tendency by all physics     K s**-1              TTDIA            0  -9999.00
000 000 199 008 Temp tendency by non-rad physics K s**-1              TTPHY            0  -9999.00
000 000 200 008 Standard dev of IRtemp 1deg area K                    TSD1D            0  -9999.00
000 000 201 008 Shallow convective heating rate  K s**-1              SHAHR            0  -9999.00
000 000 202 008 Vertical diffusion heating rate  K s**-1              VDFHR            0  -9999.00
000 000 203 008 Pot temp top of viscous sublayer K                    THZ0             0  -9999.00
000 000 204 008 Tropical Cyclone Heat Potential  J m**-2              TCHP             0  -9999.00
!
! moisture
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 001 019 000 Precipitation Type               cat                  PTYPE            0  -9999.00
000 001 019 005 Precipitation Type               cat                  PTYPE            0  -9999.00
000 001 030 000 Precipitable Water Category      cat                  PWCAT            0  -9999.00
000 001 031 000 Hail                             m                    HAIL             0  -9999.00
000 001 032 000 Graupel                          kg*kg^-1             GRLE             0  -9999.00
000 001 033 000 Categorical Rain                 cat                  CRAIN            0  -9999.00
000 001 034 000 Categorical Freezing Rain        cat                  CFRZR            0  -9999.00
000 001 035 000 Categorical Ice Pellets          cat                  CICEP            0  -9999.00
000 001 036 000 Categorical Snow                 cat                  CSNOW            0  -9999.00
000 001 037 000 Convective Precipitation Rate    kg m^-2 s^-1         CPRAT            0  -9999.00
000 001 038 000 Horizontal Moisture Divergence   kg kg^-1 s^-1        MCONV            0  -9999.00
000 001 039 000 Percent frozen precipitation     %                    CPOFP            0  -9999.00
000 001 060 000 Water equiv of accum snow depth  kg m**-2             WEASD            0  -9999.00
000 001 060 001 Water equiv of accum snow depth  kg m**-2             WEASD            0  -9999.00
000 001 060 011 Water equiv of accum snow depth  kg m**-2             WEASD            0  -9999.00
000 001 060 000 Snow Depth Water Equivalent      kg m -2              SDWE             0  -9999.00
000 001 061 000 Snow Density                     kg m -3              SDEN             0  -9999.00
000 001 062 000 Snow Evaporation                 kg m -2              SEVAP            0  -9999.00
!000 001 063 000 Reserved                                                               0  -9999.00
000 001 064 000 Total Column Integrated Water Va kg m -2              TCIWV            0  -9999.00
000 001 065 000 Rain Precipitation Rate          kg m -2 s -1         RPRATE           0  -9999.00
000 001 065 008 Rain Precipitation Rate          kg m -2 s -1         RPRATE           0  -9999.00
000 001 066 000 Snow Precipitation Rate          kg m -2 s -1         SPRATE           0  -9999.00
000 001 066 008 Snow Precipitation Rate          kg m -2 s -1         SPRATE           0  -9999.00
000 001 067 000 Freezing Rain Precipitation Rate kg m -2 s -1         FPRATE           0  -9999.00
000 001 067 008 Freezing Rain Precipitation Rate kg m -2 s -1         FPRATE           0  -9999.00
000 001 068 000 Ice Pellets Precipitation Rate   kg m -2 s -1         IPRATE           0  -9999.00
000 001 068 008 Ice Pellets Precipitation Rate   kg m -2 s -1         IPRATE           0  -9999.00
000 001 069 000 Total Column Integrate Cloud Wat kg m -2              TCOLW            0  -9999.00
000 001 074 000 Total Column Integrate Graupel   kg m^-2              TCOLG            0  -9999.00
