! GRIB2  - WMO Parameter Table
!
!D#  = Discipline number
!CT# = Category number (Octet 10, Code Table 4.2)
!ID# = Parameter number (Octet 11)
!PD# = Product Definition Template number (Octet 8-9, Code Table 4.0)
!
! temperature
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 000 000 000 Temperature                      K                    TMPK             0  -9999.00
000 000 000 005 Temperature Prob                 K                    TMPK             0  -9999.00
000 000 000 001 Ensemble Temperature             K                    TMPK             0  -9999.00
000 000 000 002 Ensemble Temperature             K                    TMPK             0  -9999.00
000 000 001 000 Virtual Temperature              K                    TVRK             0  -9999.00
000 000 002 000 Potential Temperature            K                    THTA             0  -9999.00
000 000 003 000 Equivalent Potential Temp        K                    THTE             0  -9999.00
000 000 004 008 Maximum Temperature              K                    TMXK             0  -9999.00
000 000 004 011 Ensemble maximum Temp            K                    TMXK             0  -9999.00
000 000 004 012 Ensemble maximum Temp            K                    TMXK             0  -9999.00
000 000 005 008 Minimum Temperature              K                    TMNK             0  -9999.00
000 000 005 011 Ensemble minimum Tem             K                    TMNK             0  -9999.00
000 000 005 012 Ensemble minimum Tem             K                    TMNK             0  -9999.00
000 000 006 000 Dew Point Temperature            K                    DWPK             0  -9999.00
000 000 007 000 Dew Point Depression             K                    DPDK             0  -9999.00
000 000 008 000 Lapse Rate                       K m**-1              LAPS             0  -9999.00
000 000 009 000 Temperature Anomaly              K                    TMPKA            0  -9999.00
000 000 010 008 Latent Heat Net Flux             W m**-2              FXLH             0  -9999.00
000 000 010 011 Latent Heat Net Flux             W m**-2              FXLH             0  -9999.00
000 000 010 012 Latent Heat Net Flux             W m**-2              FXLH             0  -9999.00
000 000 011 008 Sensible Heat Net Flux           W m**-2              FXSH             0  -9999.00
000 000 011 011 Sensible Heat Net Flux           W m**-2              FXSH             0  -9999.00
000 000 011 012 Sensible Heat Net Flux           W m**-2              FXSH             0  -9999.00
000 000 012 000 Heat Index                       K                    HEAT             0  -9999.00
!000 000 013 000 Wind Chill Factor                K                    ????             0  -9999.00
!000 000 014 000 Minimum Dew Point Depression     K                    ????             0  -9999.00
!000 000 015 000 Virtual Potential Temperature    K                    ????             0  -9999.00
!
! moisture
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 001 000 000 Specific Humidity                kg kg**-1            SPFH             0  -9999.00
000 001 001 000 Relative Humidity                %                    RELH             0  -9999.00
000 001 001 001 Relative Humidity                %                    RELH             0  -9999.00
000 001 001 002 Relative Humidity                %                    RELH             0  -9999.00
000 001 002 000 Humidity Mixing Ratio            kg kg**-1            MIXR             3  -9999.00
000 001 003 000 Precipitable water               kg m**-2             PWTR             0  -9999.00
000 001 003 001 Precipitable water               kg m**-2             PWTR             0  -9999.00
000 001 003 002 Precipitable water               kg m**-2             PWTR             0  -9999.00
000 001 004 000 Vapour pressure                  Pa                   VAPR            -2  -9999.00
000 001 005 000 Saturation deficit               Pa                   SATD            -2  -9999.00
000 001 006 000 Evaporation                      kg m**-2             EVAP             0  -9999.00
000 001 007 008 Precipitation rate               kg m**-2 s**-1       PR--             0  -9999.00
000 001 008 008 Total precipitation              kg m**-2             P--M             0     -0.01
000 001 008 009 Precipitation Probability        %                    PP--             0  -9999.00
000 001 008 011 Total precipitation              kg m**-2             P--M             0     -0.01
000 001 008 012 Total precipitation              kg m**-2             P--M             0     -0.01
000 001 009 008 Large scale precipitation        kg m**-2             S--M             0     -0.01
000 001 010 008 Convective precipitation         kg m**-2             C--M             0     -0.01
000 001 011 000 Snow depth                       m                    SNDM             0  -9999.00
000 001 011 001 Snow depth                       m                    SNDM             0  -9999.00
000 001 011 002 Snow depth                       m                    SNDM             0  -9999.00
000 001 012 008 Snowfall rate water equiv        kg m**-2 s**-1       SR--             0  -9999.00
000 001 013 000 Wat equiv of accum snow dep      kg m**-2             SWEM             0  -9999.00
000 001 013 001 Wat equiv of accum snow dep      kg m**-2             SWEM             0  -9999.00
000 001 013 002 Wat equiv of accum snow dep      kg m**-2             SWEM             0  -9999.00
000 001 014 000 Convective snow                  kg m**-2             CSNO             0  -9999.00
000 001 015 000 Large scale snow                 kg m**-2             LSNO             0  -9999.00
000 001 015 009 Large scale snow                 kg m**-2             LSNO             0  -9999.00
000 001 016 008 Snow melt                        kg m**-2             N--M             0     -0.01
!000 001 017 000 Snow age                         day                  ????             ?  -9999.00
!000 001 018 000 Absolute Humidity                kg m**-3             ????             ?  -9999.00
!000 001 019 000 Precipitation Type               code table           ????             ?  -9999.00
!000 001 020 000 Integrated Liquid Water          kg m**-2             ????             ?  -9999.00
!000 001 021 000 Condensate                       kg kg**-1            ????             ?  -9999.00
!000 001 022 000 Cloud Mixing Ratio               kg kg**-1            ????             ?  -9999.00
!000 001 023 000 Ice water Mixing Ratio           kg kg**-1            ????             ?  -9999.00
!000 001 024 000 Rain Mixing Ratio                kg kg**-1            ????             ?  -9999.00
!000 001 025 000 Snow Mixing Ratio                kg kg**-1            ????             ?  -9999.00
!000 001 026 000 Horizon Moisture Converg         kg kg**-1 s**-1      ????             ?  -9999.00
!000 001 027 000 Maximum Relative Humidity        %                    ????             ?  -9999.00
!000 001 028 000 Maximum Absolute Humidity        kg m**-3             ????             ?  -9999.00
000 001 029 008 Total Snowfall                   m                    W--M             3     -0.01
!000 001 030 000 Precipitable water Category      code table           ????             ?  -9999.00
000 001 031 000 Hail                             m                    H--M             3     -0.01
!000 001 032 000 Graupel (snow pellets)           kg kg**-1            ????             ?  -9999.00
000 001 192 000 Weather                          NA                   WTHR             0  -9999.00
!
! momentum
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 002 000 000 Wind Direction                   Degree true          DRCT             0  -9999.00
000 002 001 000 Wind Speed                       m s**-1              SPED             0  -9999.00
000 002 001 005 Wind Speed                       m s**-1              SPED             0  -9999.00
000 002 002 000 u-component of wind              m s**-1              UREL             0  -9999.00
000 002 002 001 Ensemble u-component of wind     m s**-1              UREL             0  -9999.00
000 002 002 002 Ensemble u-component of wind     m s**-1              UREL             0  -9999.00
000 002 003 000 v-component of wind              m s**-1              VREL             0  -9999.00
000 002 003 001 Ensemble v-component of wind     m s**-1              VREL             0  -9999.00
000 002 003 002 Ensemble v-component of wind     m s**-1              VREL             0  -9999.00
000 002 004 000 Stream Function                  m**2 s**-1           STRM             0  -9999.00
000 002 005 000 Velocity Potential               m**2 s**-1           VPOT             0  -9999.00
000 002 006 000 Montgomery Streamfunction        m**2 s**-2           PSYM            -2  -9999.00
000 002 007 000 Sigma co-ordinate vert vel       s**-1                SGCVV            0  -9999.00
000 002 008 000 Vertical Velocity (Pressure)     Pa s**-1             OMEG            -2  -9999.00
000 002 008 001 Vertical Velocity (Pressure)     Pa s**-1             OMEG            -2  -9999.00
000 002 008 002 Vertical Velocity (Pressure)     Pa s**-1             OMEG            -2  -9999.00
000 002 009 000 Vertical Velocity (Geometric)    m s**-1              VVEL             0  -9999.00
000 002 010 000 Absolute Vorticity               s**-1                AVOR             0  -9999.00
000 002 011 000 Absolute Divergence              s**-1                DIV              0  -9999.00
000 002 012 000 Relative Vorticity               s**-1                VOR              0  -9999.00
000 002 013 000 Relative Divergence              s**-1                RDIV             0  -9999.00
!000 002 014 000 Potential Vorticity              K m**2 (kg s)**-1    ????             ?  -9999.00
000 002 015 000 Vertical u-component shear       s**-1                USHR             0  -9999.00
000 002 016 000 Vertical v-component shear       s**-1                VSHR             0  -9999.00
000 002 017 000 Momentum Flux, u-component       N m**-2              URELFX           0  -9999.00
000 002 018 000 Momentum Flux, v-component       N m**-2              VRELFX           0  -9999.00
000 002 019 000 Wind Mixing Energy               J                    ENRG             0  -9999.00
000 002 020 000 Boundary Layer Dissipation       W m**-2              BLDIS            0  -9999.00
000 002 021 000 Maximum Wind Speed               m s**-1              MAXWSPD          0  -9999.00
000 002 021 008 Maximum Wind Speed               m s**-1              MAXWSPD--        0  -9999.00
000 002 022 000 Wind Speed (gust)                m s**-1              GUST             0  -9999.00
000 002 023 000 u-component of wind (gust)       m s**-1              UGST             0  -9999.00
000 002 024 000 v-component of wind (gust)       m s**-1              VGST             0  -9999.00
!
! mass
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 003 000 000 Pressure                         Pa                   PRES            -2  -9999.00
000 003 000 001 Ensemble Pressure                Pa                   PRES            -2  -9999.00
000 003 000 002 Ensemble Pressure                Pa                   PRES            -2  -9999.00
000 003 001 000 Pressure Reduced to MSL          Pa                   PMSL            -2  -9999.00
000 003 001 001 Pressure Reduced to MSL          Pa                   PMSL            -2  -9999.00
000 003 001 002 Ensemble MSLP                    Pa                   PMSL            -2  -9999.00
000 003 002 000 Pressure Tendency                Pa s**-1             PTND            -2  -9999.00
000 003 003 000 ICAO Standard Atm Ref Height     m                    ICAHT            0  -9999.00
000 003 004 000 Geopotential                     m**2 s**-2           GP               0  -9999.00
000 003 005 000 Geopotential Height              gpm                  HGHT             0  -9999.00
000 003 005 001 Ensemble Geopot. Height          gpm                  HGHT             0  -9999.00
000 003 005 002 Ensemble Geopot. Height          gpm                  HGHT             0  -9999.00
000 003 005 005 Ensemble Geopot. Height          gpm                  HGHT             0  -9999.00
000 003 006 000 Geometrical Height               m                    DIST             0  -9999.00
000 003 007 000 Standard Deviation of Height     m                    HGHTSD           0  -9999.00
000 003 008 000 Pressure Anomaly                 Pa                   PRESA           -2  -9999.00
000 003 009 000 Geopotential Height Anomaly      gpm                  HGHTA            0  -9999.00
000 003 010 000 Density                          kg m**-3             DNTY             0  -9999.00
!000 003 011 000 Altimeter Setting                ????                 ????             ?  -9999.00
!000 003 012 000 Thickness                        ????                 ????             ?  -9999.00
!000 003 013 000 Pressure Altitude                ????                 ????             ?  -9999.00
!000 003 014 000 Density Altitude                 ????                 ????             ?  -9999.00
!
! short-wave radiation
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 004 000 000 Net Short-Wave Rad (sfc)         W m**-2              SNIR             0  -9999.00
000 004 001 000 Net Short-Wave Rad (toa)         W m**-2              SWRT             0  -9999.00
!000 004 002 000 Short-Wave Radiation Flux        W m**-2              ????             ?  -9999.00
!000 004 003 000 Global radiation Flux            W m**-2              ????             ?  -9999.00
!000 004 004 000 Brightness Temperature           K                    ????             ?  -9999.00
!000 004 005 000 Radiance (w/r to wave nmber)     W m**-1 sr**-1       ????             ?  -9999.00
