! GRDNAV.TBL
!
! This table contains information used for the navigation and analysis headers
! of a GEMPAK grid file.
!
! ID    - alias used to reference a particular grid definition
! #     - nmeric reference to a particular grid definition; typically used
!         as '#101' 
!
! See help for PROJ for the next 4 columns:
! PRJ   - grid projection, e.g., 'STR' is stereographic
! A1    - Angle #1 per GEMPAK projection definitions.
! A2    - Angle #2 per GEMPAK projection definitions.
! A3    - Angle #3 per GEMPAK projection definitions.
!
! See help for GAREA for the next 4 columns wrt specifying corner points:
! LLT   - Latitude  of lower-left  corner of grid
! LLN   - Longitude of lower-left  corner of grid
! ULT   - Latitude  of upper-right corner of grid
! ULN   - Longitude of upper-right corner of grid
!
! KX    - Number of gridpoints in X-direction (horizontal)
! KY    - Number of gridpoints in Y-direction (vertical)
!
! The following will apply only if grid will be used by the Barnes analysis
! in one of the GEMPAK OA (Objective Analysis) programs, e.g., OABSFC or OABSND.
! DELN  - Delta-N for Barnes analysis
! X     - Grid size increase, first pass, for Barnes analysis
!
!!
! Log:
! S. Jacobs/NCEP	 9/97	General cleanup; Added header and log
! S. Jacobs/NCEP	 9/97	Modified A204, A208, A210; Moved G210 to G310
! M. Li/GSC		 5/00	Added ET32, A219-221, A224, A225, and A234
! K. Brill/HPC		 3/03	Added A217
! K. Brill/HPC		 3/03	Fixed grid A220 definition
! T. Lee/SAIC		 2/04	Changed AVN to GFS
! K. Brill/HPC		 4/04	Added RUC2 grid (A236) & fixed grid 218 specs
! D.W.Plummer/NCEP	 3/05	Added NDFD
! D.W.Plummer/NCEP	11/05	Supplement documentation
! F. J. Yen/NCEP	 7/08	Added comment-ASTG (grid 255) for staggered grid
!
!ID    # PRJ  A1   A2  A3     LLT      LLN     ULT      ULN  KX  KY DELN X
NDFD   1 LCC  25  -95  25  20.190 -121.550  50.110  -60.890 1073 689 4.00 0
MRF    2 CED   0    0   0 -90.000    0.000  90.000   -2.500 144  73 4.00 0
GFS    3 CED   0    0   0 -90.000    0.000  90.000   -1.000 360 181 2.00 0
N005   5 STR  90 -105   0   7.647 -133.443  42.897    2.103  53  57 3.75 0
LFM    6 STR  90 -105   0   7.647 -133.443  44.288  -23.746  53  45 3.75 0
ECW1  11 CED   0    0   0   0.000  -90.000  90.000    0.000  37  37 4.00 0
ECW2  12 CED   0    0   0   0.000 -180.000  90.000  -90.000  37  37 4.00 0
ECE1  13 CED   0    0   0   0.000    0.000  90.000   90.000  37  37 4.00 0
ECE2  14 CED   0    0   0   0.000   90.000  90.000  180.000  37  37 4.00 0
UK21  21 CED   0    0   0   0.000    0.000  90.000  180.000  37  37 4.00 0
UK22  22 CED   0    0   0   0.000 -180.000  90.000    0.000  37  37 4.00 0
UK23  23 CED   0    0   0 -90.000    0.000   0.000  180.000  37  37 4.00 0
UK24  24 CED   0    0   0 -90.000 -180.000   0.000    0.000  37  37 4.00 0
UK25  25 CED   0    0   0   0.000    0.000  90.000   -5.000  72  19 4.00 0
UK26  26 CED   0    0   0 -90.000    0.000   0.000   -5.000  72  19 4.00 0
UK61  61 CED   0    0   0   0.000    0.000  90.000  180.000  91  46 4.00 0
UK62  62 CED   0    0   0   0.000 -180.000  90.000    0.000  91  46 4.00 0
UK63  63 CED   0    0   0 -90.000    0.000   0.000  180.000  91  46 4.00 0
UK64  64 CED   0    0   0 -90.000 -180.000   0.000    0.000  91  46 4.00 0
N027  27 STR  90  -80   0 -20.825 -125.000 -20.825   55.000  65  65 2.00 0
