! AFOSMAP.TBL
!
! This table contains NAFOS map areas.
!
! Log:
! D. Keiser/GSC		10/96
! D. Keiser/GSC		11/96	Added CPC products
! S. Jacobs/NCEP	 4/98	Added MOS POP and Max/Min Temps
! S. Jacobs/NCEP	 4/98	Added TPC products
! S. Jacobs/NCEP	11/98	Added CPC climatology products
! S. Jacobs/NCEP	 8/99	Added CPC drought/threats products
!------------------------------------------------------------------------
!PRODUCT TYPE              GAREA 
!(25)                      (4)
!------------------------------------------------------------------------
90C-MSL_PRS_CHG_12H        AFNA
90F-SFC_FRONTS_3H          AFNA
90I-MSL_ISOBARS_3H         AFNA
90N-NORM_MIN_TEMP_ANL      AFNA
90X-NORM_MAX_TEMP_ANL      AFNA
92F-12H_FNT-MSL_PRS        AFNA
94F-24H_FNT-MSL_PRS        AFNA
96F-36H_FNT-MSL_PRS        AFNA
98F-48H_FNT-MSL_PRS        AFNA
L2P-12H_INSTAN_PCPN        AFNA
L4P-24H_INSTAN_PCPN        AFNA
L6P-36H_INSTAN_PCPN        AFNA
L8P-48H_INSTAN_PCPN        AFNA
90W-OBS_WX_DPCN_ANL        AFNA
P03-RGL_PCP_WTR_PLT        AFNA
P0D-RGL_SFC-500_RH         AFNA
P0N-OBS_MIN_TEMP-12H       AFNA
P0P-OBS_PCPN-24H           AFNA
P0S-OBS_SNOW_COVER         AFNA
P0W-OBS_WX_DPCN            AFNA
P0X-OBS_MAX_TEMP-12H       AFNA
9OW-12H_MAR_SIG_WX         AFNH
9PW-24H_MAR_SIG_WX         AFNH
9RW-48H_MAR_SIG_WX         AFNH
9TW-72H_MAR_SIG_WX         AFNH
CD1-WTCH_WARN_ADV_1ST      AFUS
CD2-WTCH_WARN_ADV_2ND      AFUS
CD3-WTCH_WARN_ADV_3RD      AFUS
94Q-24H_DAY1_QPF           AFNA
98Q-24H_DAY2_QPF           AFNA
L0A-RGL_FRZ_LVL            AFNA
L0F-RGL_FRZ_LVL_ANLYS      AFNA
L2F-12H_FRZ_LVL_ANLYS      AFNA
L2W-12H_WX_DPCN_LO         AFNA
L4F-24H_FRZ_LVL_ANLYS      AFNA
L4W-24H_WX_DPCN_LO         AFNA
RA1-MAR_ANLYS_ATL          AFNA
RA2-24H_WNDWAV_FCST_ATL    AFNA
RA3-36H_WNDWAV_FCST_ATL    AFNA
RP1-MAR_ANLYS_PAC          AFNA
RP2-24H_WNDWAV_FCST_PAC    AFNA
91E-6H_QPF_UPD             AFNA
92E-6H_QPF_PD1             AFNA
93E-6H_QPF_PD2             AFNA
9EE-6H_QPF_PD3             AFNA
9FE-6H_QPF_PD4             AFNA
LDS-LGTNG_DETECT_SUM       AFNA
93S-12H_HVY_SNOW           AFNA
94E-EXCSV_RAIN_OTLK        AFNA
94S-HVY_SNOW_OTLK          AFNA
90R-RDR_CONTRS_HH+35       AFNA
90S-RDR_LABELS_HH+35       AFNA
94O-CNVTV_OTLK_DAY1        AFNA
98O-SVR_OTLK_DAY2          AFNA
HRY-SVR_TSTM_RPTS          AFNA
93P-DAY3_MXMN_POP_ANM      AFNA
94P-DAY4_MXMN_POP_ANM      AFNA
95P-DAY5_MXMN_POP_ANM      AFNA
95A-5DAY_MAX_TEMP_ANM      AFNA
95B-5DAY_MIN_TEMP_ANM      AFNA
95E-5DAY_TOTAL_PRECIP      AFNA
96E-6_10DY_TOTL_PRECP      AFNA
96T-6_10DY_TEMP_ANM        AFNA
9JH-DAY3_FNT_ISOBAR        AFNH
9KH-DAY4_FNT_ISOBAR        AFNH
9LH-DAY5_FNT_ISOBAR        AFNH
0OJ-12H_ATL_OCSFC_WND      AFNA
0OM-12H_PAC_OCSFC_WND      AFNA
0PJ-24H_ATL_OCSFC_WND      AFNA
0PM-24H_PAC_OCSFC_WND      AFNA
0RJ-48H_ATL_OCSFC_WND      AFNA
0RM-48H_PAC_OCSFC_WND      AFNA
0TJ-72H_ATL_OCSFC_WND      AFNA
0TM-72H_PAC_OCSFC_WND      AFNA
0O1-12H_AVN_SWH            AFNH
0P1-24H_AVN_SWH            AFNH
0R1-48H_AVN_SWH            AFNH
0T1-72H_AVN_SWH            AFNH
9MT-30D_TEMP_ANM           AFNA
9ME-30D_PRECIP_ANM         AFNA
99T-3MO_TEMP_ANM           AFNA
99P-3MO_PRECIP_ANM         AFNA
96H-6_10DY_500MB_MN_HT     AFNH
96C-6_10DY_500MB_ANM       AFNH
LTA-0.5_MTH_TEMP           AFNA
LTB-1.5_MTH_TEMP           AFNA
LTC-2.5_MTH_TEMP           AFNA
LTD-3.5_MTH_TEMP           AFNA
LTE-4.5_MTH_TEMP           AFNA
LTF-5.5_MTH_TEMP           AFNA
LTG-6.5_MTH_TEMP           AFNA
LTH-7.5_MTH_TEMP           AFNA
