!
!  Station table for nwx bulletins
!
!  See the MASTER.TBL for data categories that use this table.
!
!
! Log:
! D.W.Plummer/NCEP	 4/97	Re-sort table by second column
! S. Jacobs/NCEP	 4/98	Added CWAO for Canadian Volcano Bulletins
! G. Grosshans/SPC	 7/98	Added TSA, new ID for WFO Tulsa, OK
! G. Krueger/EAI	11/98	Added and updated numerous stations.
! G. Krueger/EAI	12/98	Added stations related to Winter Weather
! G. Krueger/EAI	 2/99	Added KFGF (Grand Forks, ND)
! G. Krueger/EAI	 2/99	Updated KMEG, KDMX, KHGX, KPHI, KTSA, KTWC
! G. Krueger/EAI	 2/99	Removed KHVR (not among our products).
! G. Krueger/EAI	11/99	SPC contribs to CWYC,CWXE,CWEG,CWWG,KBIL,KBYZ
! M. Li/GSC		07/00	Added PHFO
! A. Hardy/NCEP		 1/05	Added KNEC and KNES
! J. Lewis/AWC		 4/05	Added KKCI,PAWU
! D. Kidwell/NCEP	11/05	Changed KFCA to KGPI
!
! The format for the file is given below, with the number of
! characters in parentheses.
!
!BULL  KSTN     NAME                             ST CO   LAT    LON  ELEV
!(6)   (8)      (32)                            (2)(2)   (5)    (6)   (5)
!
99999  CWAO     MONTREAL_VAAC                    CN CN   4547   -7375  -9999
99999  CWEG     ALBERTA_WX_CENTRE_&              CN CN   5350  -11350    680
99999  CWHX     MARITIMES_WX_CENTRE              CN CN   4473   -6367  -9999
99999  CWTO     TORONTO_AES_HQ____&              CN CN   4378   -7947    187
99999  CWUL     QUEBEC_FCST_OFFICE               CN CN   4550   -7368  -9999
99999  CWVR     PACIFIC_WX_CENTER                CN CN   4918  -12317  -9999
99999  CWWG     PRAIRIE_WX_CENTER                CN CN   4990   -9713    251
99999  CYQX     GANDER_INTL_AIRPORT              CN CN   4895   -5457    151
99999  CYXY     WHITEHORSE_AIRPORT               CN CN   6072  -13507    703
99999  CWYC     S_ALBERTA_ENV_SVCS_CTR,CALGARY   CN CN   5105  -11508   1084 
99999  CWXE     SASKATOON_ENV_SVCS_CENTER        CN CN   5214  -10663    504
74755  K01R     ALEXANDRIA/CLAI                  LA US   3113   -9257     67
72460  K1K5     ELKHART_(AMOS)                   KS US   3700  -10188   1102
72614  K1V4     ST._JOHNSBURY(A                  VT US   4442   -7202    217
69031  K1Y7     YUMA_PROVING_GR                  AZ US   3285  -11440     98
72269  K2C2     WHITE_SANDS_TES                  NM US   3238  -10648   1244
72619  K3B1     GREENVILLE_(AMO                  ME US   4547   -6958    316
72650  K3SE     SPENCER                          IA US   4317   -9515    408
72463  K4LJ     LAMAR                            CO US   3808  -10262   1103
74619  K4SU     SUPERIOR_VALLEY                  CA US   3633  -11710    962
70277  K5WD     SEWARD                           AK US   6012  -14944     18
72390  K87Q     PT_PIEDRAS(CG/A                  CA US   3567  -12128     21
72612  K9B2     NEWPORT                          VT US   4493   -7220    233
72653  K9V9     CHAMBERLAIN_(AM                  SD US   4380   -9932    530
72517  KABE     ALLENTOWN-BETHL                  PA US   4065   -7543    117
72266  KABI     ABILENE_MUNICIP                  TX US   3242   -9968    546
72365  KABQ     ALBUQUERQUE/KIR                  NM US   3504  -10660   1613
72659  KABR     ABERDEEN_REGION                  SD US   4545   -9843    396
72216  KABY     ALBANY_MUNICIPA                  GA US   3153   -8418     59
72256  KACT     WACO-MADISON_CO                  TX US   3162   -9722    155
72407  KACY     ATLANTIC_CITY                    NJ US   3945   -7456     20
74002  KADG     ABERDEEN_AFB                     MD US   3947   -7607      5
70454  KADK     ADAK_NAS/MITCHE                  AK US   5188  -17665      4
70350  KADQ     KODIAK                           AK US   5775  -15250     34
74594  KADW     ANDREWS_AFB                      MD US   3882   -7687     86
74754  KAEX     ENGLAND_AFB/ALE                  LA US   3133   -9255     27
74531  KAFF     AIR_FORCE_ACADE                  CO US   3897  -10482   2003
74796  KAGR     AVON_PARK_GNRY                   FL US   2765   -8133     20
72218  KAGS     AUGUSTA/BUSH_FI                  GA US   3336   -8197     45
72311  KAHN     ATHENS_MUNICIPA                  GA US   3395   -8332    247
99999  KAIA     ALLIANCE_MUNICIPAL               NE US   4205  -10280   1198
70273  KAKC     ANCHORAGE_INTL                   AK US   6117  -15002     40
99999  KAKQ     WAKEFIELD_MUNICIPAL_AIRPORT      VA US   3698   -7700     34
72518  KALB     ALBANY                           NY US   4275   -7380     89
72548  KALO     WATERLOO_MUNICI                  IA US   4255   -9240    268
72462  KALS     ALAMOSA_MUNI(AW                  CO US   3745  -10587   2299
72788  KALW     WALLA_WALLA_RGN                  WA US   4610  -11828    367
72518  KALY     ALBANY                           NY US   4275   -7380     89
72363  KAMA     AMARILLO_ARPT(A                  TX US   3522  -10170   1099
70273  KANC     ANCHORAGE_INTL                   AK US   6117  -15002     40
70232  KANI     ANIAK_(AWOS)                     AK US   6158  -15953     26
70398  KANN     ANNETTE_ISLAND                   AK US   5503  -13157     34
72639  KAPN     ALPENA_CO._REGI                  MI US   4507   -8357    211
72639  KAPX     ALPENA,_ALPENA_CO_REG_AIRPORT    MI US   4507   -8356    210
72220  KAQQ     APALACHICOLA_MU                  FL US   2973   -8503      6
