! NIDPRD.TBL
!
! This table contains product information necessary to interpret the
! header of a NIDS radar image.
!
! LOCAL images are identified by a positive source ID less than 10000.
! NATIONAL Mosaic images are identified by a source ID equal to 10000.
! REGIONAL Mosaic images are identified by a source ID between 10001 and 10007,
! inclusive.  Alaska Mosaic Site ID is 10051 and Hawaii Mosaic Site ID is 10052.
!
!!
! Log:
! S. Jacobs/NCEP	12/97
! S. Jacobs/NCEP	 2/98	Updated per UNISYS product catalog
! S. Jacobs/NCEP	 4/98	Fixed spelling of abbreviations
! S. Jacobs/NCEP	11/02	Added product #74 - RCM
! G. Grosshans/SPC	03/07	Added NSSL Level-II imagery
! G. Grosshans/SPC	05/07	Added Level-II CAPPI imagery per Levit
! G. Grosshans/SPC	05/07	Changed CAPPI imagery Prod ID numbers
!				to unused numbers at the SPC.  Added
!				1 and 2 HR CUM PCPN
! J. Levit/SPC		10/07	Changed NSSL product ID numbers
! T. Piper/SAIC		03/08	Updated for new Alaska and Hawaii mosaics
! X. Guo/CWS		04/10   Updated 94 product
! X. Guo/CWS            04/10   Updated 99,134 and 135 products
! S. Jacobs/NCEP	 6/12	Added products 190, 191
!------------------------------------------------------------------------
!
!Type    Name      Prod#   #Lvls Units    Res    Description
!A8      A8           I6      I7 A8       F6.2   A20
!2345678X12345678X123456X1234567X12345678X123.12X12345678901234567890
! Used for the UNISYS data feed.
LOCAL    BREF         19      16 DBZ        1.00 BASE_REFL_1KM_TILT
LOCAL    BREF256      94     256 DBZ        1.00 BASE_REFL_1KM_TILT
LOCAL    BREF         20      16 DBZ        2.00 BASE_REFL_2KM_TILT
LOCAL    VEL          27      16 KNOTS      1.00 RAD_VEL_1KM_TILT
LOCAL    CREFC        36       8 DBZ        4.00 COMP_REFL_CLR_4KM
LOCAL    CREFP        38      16 DBZ        4.00 COMP_REFL_PRCP_4KM
LOCAL    TOPS         41      16 KFT        4.00 ECHO_TOPS
LOCAL    SRVEL        56      16 KNOTS      1.00 STORM_REL_VEL
LOCAL    VIL          57      16 KG/M**2    4.00 PREC_WATER
LOCAL    LMRF1        65       8 DBZ        4.00 LYR1_MAX_REFL
LOCAL    LMRF2        66       8 DBZ        4.00 LYR2_MAX_REFL
LOCAL    PRCP1        78      16 INCHES     2.00 PRECIP_1HR
LOCAL    PRCP3        79      16 INCHES     2.00 PRECIP_3HR
LOCAL    PRCPT        80      16 INCHES     2.00 PRECIP_TOTAL
LOCAL    LMRF3        90       8 DBZ        4.00 LYR_MAX_REFL3
!
! Used for data from other vendors.
LOCAL    BREF         16       8 DBZ        1.00 BASE_REFL_1KM_TILT
LOCAL    BREF         17       8 DBZ        2.00 BASE_REFL_2KM_TILT
LOCAL    BREF         18       8 DBZ        4.00 BASE_REFL_4KM_TILT
LOCAL    BREF         21      16 DBZ        4.00 BASE_REFL_4KM_TILT
LOCAL    VEL          22       8 KNOTS      0.25 RAD_VEL_.25KM_TILT
LOCAL    VEL          23       8 KNOTS      0.50 RAD_VEL_.5KM_TILT
LOCAL    VEL          24       8 KNOTS      1.00 RAD_VEL_1KM_TILT
LOCAL    VEL          25      16 KNOTS      0.25 RAD_VEL_.25KM_TILT
LOCAL    VEL          26      16 KNOTS      0.50 RAD_VEL_.5KM_TILT
LOCAL    SPWID        28       8 KNOTS      0.25 SPEC_WIDTH_.25KM
LOCAL    SPWID        29       8 KNOTS      0.50 SPEC_WIDTH_.5KM
LOCAL    SPWID        30       8 KNOTS      1.00 SPEC_WIDTH_1KM
