! CWA.TBL
!
! This table contains the station information to be used as county warning
! area centroids.
!
! The format for the file is given below, with the number of characters in
! parentheses.
!
! Log:
! G. Krueger/EAI	 9/99
! R. Tian/SAIC          05/02   Updated with w_25ap02 shapefile
!-------------------------------------------------------------------
!
!STID    STNM   WFO                              ST CO   LAT    LON  ELV PRI
!(8)     (6)    (32)                            (2)(2)   (5)    (6)   (5)(2)
!
CWA001        1 FGF                              -- US  4756  -9713     0  0
CWA002        2 GGW                              -- US  4777 -10647     0  0
CWA003        3 BIS                              -- US  4746 -10103     0  0
CWA004        4 TFX                              -- US  4667 -11115     0  0
CWA005        5 OTX                              -- US  4742 -11807     0  0
CWA006        6 SEW                              -- US  4768 -12270     0  0
CWA007        7 MSO                              -- US  4660 -11448     0  0
CWA008        8 DLH                              -- US  4704  -9213     0  0
CWA009        9 PDT                              -- US  4560 -11923     0  0
CWA010       10 GYX                              -- US  4440  -7050     0  0
CWA011       11 MQT                              -- US  4664  -8781     0  0
CWA012       12 BYZ                              -- US  4571 -10754     0  0
CWA013       13 PQR                              -- US  4511 -12279     0  0
CWA014       14 MPX                              -- US  4493  -9356     0  0
CWA015       15 GRB                              -- US  4509  -8856     0  0
CWA016       16 ABR                              -- US  4476  -9905     0  0
CWA017       17 UNR                              -- US  4446 -10278     0  0
CWA018       18 APX                              -- US  4529  -8478     0  0
CWA019       19 ARX                              -- US  4394  -9132     0  0
CWA020       20 BOI                              -- US  4362 -11692     0  0
CWA021       21 RIW                              -- US  4305 -10857     0  0
CWA022       22 BTV                              -- US  4411  -7367     0  0
CWA023       23 PIH                              -- US  4342 -11316     0  0
CWA024       24 FSD                              -- US  4342  -9719     0  0
CWA025       25 BUF                              -- US  4280  -7800     0  0
CWA026       26 GRR                              -- US  4312  -8533     0  0
CWA027       27 ALY                              -- US  4277  -7382     0  0
CWA028       28 DTX                              -- US  4288  -8351     0  0
CWA029       29 MKX                              -- US  4323  -8906     0  0
CWA030       30 MFR                              -- US  4246 -12195     0  0
CWA031       31 BGM                              -- US  4225  -7605     0  0
CWA032       32 CYS                              -- US  4224 -10527     0  0
CWA033       33 DMX                              -- US  4203  -9387     0  0
CWA034       34 BOX                              -- US  4217  -7149     0  0
CWA035       35 LBF                              -- US  4166 -10053     0  0
CWA036       36 OAX                              -- US  4143  -9661     0  0
CWA037       37 DVN                              -- US  4143  -9079     0  0
CWA038       38 SLC                              -- US  3979 -11154     0  0
CWA039       39 LOT                              -- US  4144  -8831     0  0
CWA040       40 CLE                              -- US  4125  -8174     0  0
CWA041       41 IWX                              -- US  4128  -8548     0  0
