AKZ191    21910 Western_Aleutians                AK US  5237  17554     0  0 AFC
GUZ068   540680 Mili                             GU US   606  17190     0  0 GUM
GUZ061   540610 Majuro                           GU US   711  17118     0  0 GUM
GUZ067   540670 Wotje                            GU US   959  17020     0  0 GUM
GUZ066   540660 Utirik                           GU US  1124  16986     0  0 GUM
GUZ065   540650 Jaluit                           GU US   594  16961     0  0 GUM
GUZ064   540640 Ailinglaplap                     GU US   740  16876     0  0 GUM
GUZ081   540810 Wake_Island                      GU US  1930  16664     0  0 GUM
GUZ051   540510 Kosrae                           GU US   531  16298     0  0 GUM
GUZ063   540630 Enewetak                         GU US  1166  16223     0  0 GUM
GUZ062   540620 Ujelang                          GU US   977  16097     0  0 GUM
GUZ043   540430 Pingelap                         GU US   621  16071     0  0 GUM
GUZ042   540420 Mokil                            GU US   666  15978     0  0 GUM
GUZ041   540410 Pohnpei                          GU US   688  15823     0  0 GUM
GUZ033   540330 Lukunor                          GU US   550  15381     0  0 GUM
GUZ031   540310 Chuuk                            GU US   737  15175     0  0 GUM
GUZ032   540320 Puluwat                          GU US   737  14919     0  0 GUM
GUZ026   540260 Satawal                          GU US   736  14704     0  0 GUM
GUZ004   540040 Saipan                           GU US  1519  14575     0  0 GUM
GUZ005   540050 Agrihan                          GU US  1797  14569     0  0 GUM
GUZ003   540030 Tinian                           GU US  1500  14562     0  0 GUM
GUZ002   540020 Rota                             GU US  1416  14521     0  0 GUM
GUZ001   540010 Guam                             GU US  1344  14477     0  0 GUM
GUZ025   540250 Woleai                           GU US   737  14392     0  0 GUM
GUZ024   540240 Sorol                            GU US   821  14070     0  0 GUM
GUZ023   540230 Ulithi                           GU US  1002  13979     0  0 GUM
GUZ021   540210 Yap                              GU US   954  13812     0  0 GUM
GUZ022   540220 Ngulu                            GU US   830  13751     0  0 GUM
GUZ013   540130 Kayangel                         GU US   807  13471     0  0 GUM
GUZ011   540110 Koror                            GU US   744  13454     0  0 GUM
GUZ012   540120 Sonsorol                         GU US   530  13222     0  0 GUM
VIZ002   520020 Saint_Croix                      VI US  1773  -6477     0  0 SJU
VIZ001   520010 Saint_Thomas_and_Saint_John      VI US  1834  -6486     0  0 SJU
PRZ026   530260 Culebra                          PR US  1832  -6529     0  0 SJU
PRZ025   530250 Vieques                          PR US  1812  -6544     0  0 SJU
PRZ022   530220 Luquillo_Mountain_Range          PR US  1829  -6579     0  0 SJU
PRZ024   530240 Cayey_Mountain_Range             PR US  1810  -6603     0  0 SJU
PRZ019   530190 Eastern_Interior                 PR US  1825  -6603     0  0 SJU
PRZ014   530140 Southeast_Coastal_Plains         PR US  1802  -6634     0  0 SJU
PRZ016   530160 North_Coastal_Plain              PR US  1844  -6644     0  0 SJU
PRZ015   530150 Southern_Hills                   PR US  1809  -6645     0  0 SJU
PRZ017   530170 Northern_Hills                   PR US  1838  -6671     0  0 SJU
PRZ023   530230 Central_Mountain_Range           PR US  1822  -6676     0  0 SJU
PRZ027   530270 SW_Coastal_Plains_and_Mona_I     PR US  1801  -6701     0  0 SJU
PRZ018   530180 West_Coast                       PR US  1817  -6712     0  0 SJU
MEZ030   190300 Coastal_Washington               ME US  4472  -6749     0  0 CAR
MEZ017   190170 Central_Washington               ME US  4501  -6767     0  0 CAR
MEZ032   190320 Northern_Washington              ME US  4548  -6774     0  0 CAR
MEZ006   190060 Southeast_Aroostook              ME US  4600  -6812     0  0 CAR
MEZ002   190020 Northeast_Aroostook              ME US  4673  -6822     0  0 CAR
MEZ016   190160 Interior_Hancock                 ME US  4486  -6831     0  0 CAR
MEZ029   190290 Coastal_Hancock                  ME US  4444  -6840     0  0 CAR
MEZ011   190110 Central_Penobscot                ME US  4539  -6841     0  0 CAR
MEZ005   190050 Northern_Penobscot               ME US  4595  -6865     0  0 CAR
MEZ015   190150 Southern_Penobscot               ME US  4494  -6884     0  0 CAR
MEZ028   190280 Coastal_Waldo                    ME US  4435  -6905     0  0 GYX
MEZ001   190010 Northwest_Aroostook              ME US  4695  -6911     0  0 CAR
