! ISLAND.TBL
!
! This table contains the locations of the major islands in the 
! tropical atlantic ocean.
! 
!
! The format for the file is given below, with the number of 
! characters in parentheses.
!
! Log:
! A. Hardy (GSC)		         DATE:    3/00	
! Notes:  Created
!
! C. Sisko & M. Huber (NHC/TPC)  DATE:    28-APR-2000   
! Notes:  expanded table to include all known Atlantic Islands
!         source:  United Nations Environment Programme (UNEP) 
!
! C. Sisko (NHC/TPC) 
!   revised:  22-MAY-2000  corrected discrepancies and performed 
!                          verification of most islands. 
!
! C. Sisko (NHC/TPC)
!   revised:  14-JUL-2000  corrected discrepancies.
!
! A. Hardy (GSC)		         DATE:    7/00	
! Notes:  corrected location for St. Thomas, Tobago Islands, 
!         added Hans Lollik Is.
!
!-------------------------------------------------------------------
!
!STID    STNM   NAME                             ST CO   LAT    LON  ELV PRI
!(8)     (6)    (32)                            (2)(2)   (5)    (6)   (5)(2)
!
ACKLINS  999999 ACKLINS                          -- BA  2238  -7390    43  0
NORTH_AN 999999 NORTH_ANDROS                     -- BA  2469  -7802    21  0
SOUTH_AN 999999 SOUTH_ANDROS                     -- BA  2400  -7767     7  0
CAT      999999 CAT                              -- BA  2440  -7550   122  0
CROOKED  999999 CROOKED                          -- BA  2275  -7420    47  0
ELEUTHER 999999 ELEUTHERA                        -- BA  2500  -7650    18  0
GRAND_BA 999999 GRAND_BAHAMA                     -- BA  2665  -7840     5  0
GREAT_AB 999999 GREAT_ABACO                      -- BA  2645  -7730    41  0
GREAT_EX 999999 GREAT_EXUMA                      -- BA  2350  -7578     0  0
GREAT_IN 999999 GREAT_INAGUA                     -- BA  2106  -7337    40  0
LITTLE_A 999999 LITTLE_ABACO                     -- BA  2687  -7770     0  0
LITTLE_I 999999 LITTLE_INAGUA                    -- BA  2150  -7300     0  0
LONG     999999 LONG                             -- BA  2313  -7508    54  0
MAYAGUAN 999999 MAYAGUANA                        -- BA  2238  -7290    34  0
NEW_PROV 999999 NEW_PROVIDENCE                   -- BA  2505  -7745     0  0
RUM_CAY  999999 RUM_CAY                          -- BA  2360  -7487    36  0
WATLING  999999 WATLING                          -- BA  2405  -7450    45  0
BARBADOS 999999 BARBADOS                         -- BR  1320  -5955   340  0
AMBERGRI 999999 AMBERGRIS_CAY                    -- BH  1804  -8788     0  0
GLOVER_R 999999 GLOVER_REEF                      -- BH  1680  -8777     2  0
LIGHTHOU 999999 LIGHTHOUSE_REEF                  -- BH  1730  -8750     0  0
TURNEFFE 999999 TURNEFFE                         -- BH  1742  -8784     0  0
BERMUDA  999999 BERMUDA                          -- BE  3230  -6475    79  0
BIOPEBA  999999 BIOPEBA                          -- BZ -1363  -3892     0  0
FERNANDO 999999 FERNANDO_DE_NORONHA              -- BZ  -383  -3242    60  0
GRANDE   999999 GRANDE                           -- BZ -2325  -4442     0  0
ITAPARIC 999999 ITAPARICA                        -- BZ -1300  -3867     0  0
MARACA   999999 MARACA_ILHA_DE                   -- BZ   200  -5040     0  0
MARTIN_V 999999 MARTIN_VAZ                       -- BZ -2050  -2885     0  0
ROCAS    999999 ROCAS_ATOL_DAS                   -- BZ  -383  -3379     0  0
SANTA_BA 999999 SANTA_BARBARA_ILHA_DA            -- BZ -1796  -3868    25  0
SANTA_CA 999999 SANTA_CATARINA_ILHA_DE           -- BZ -2760  -4851     0  0
SAO_LUIS 999999 SAO_LUIS_ILHA_DE                 -- BZ  -260  -4422     0  0
SAO_PEDR 999999 SAO_PEDRO_E_SAO_PAULO_PENEDOS_D  -- BZ   093  -2937     0  0
SAO_SEBA 999999 SAO_SEBASTIAO_ILHA_DE            -- BZ -2388  -4528     0  0
TINHARE  999999 TINHARE                          -- BZ -1347  -3897     0  0
TRINIDAD 999999 TRINIDAD                         -- BZ -2050  -2922   500  0
ADAMS    999999 ADAMS                            -- CN  7145  -7302  1294  0
ADMIRALT 999999 ADMIRALTY                        -- CN  6950 -10113     0  0
AIR_FORC 999999 AIR_FORCE                        -- CN  6780  -7400    91  0
AKIMISKI 999999 AKIMISKI                         -- CN  5300  -8125    46  0
AKPATOK  999999 AKPATOK                          -- CN  6050  -6800     0  0
ALEXANDE 999999 ALEXANDER                        -- CN  7580 -10270   183  0
AMHERST  999999 AMHERST                          -- CN  6977  -8374     0  0
AMUND_RI 999999 AMUND_RINGNES                    -- CN  7840  -9650   213  0
ANTICOST 999999 ANTICOSTI                        -- CN  4950  -6310   312  0
ARISTAZA 999999 ARISTAZABAL                      -- CN  5264 -12917   381  0
AXEL_HEI 999999 AXEL_HEIBERG                     -- CN  7960  -9100  2140  0
BAFFIN   999999 BAFFIN                           -- CN  6800  -7400  2078  0
BAILLIE_ 999999 BAILLIE_HAMILTON                 -- CN  7585  -9450   190  0
BANKS    999999 BANKS                            -- CN  5336 -13017   655  0
BANKS    999999 BANKS                            -- CN  7300 -12200   746  0
BATHURST 999999 BATHURST                         -- CN  7570  -9980   457  0
BIG      999999 BIG                              -- CN  6275  -7050     0  0
BORDEN   999999 BORDEN                           -- CN  7840 -11100   152  0
BRAY     999999 BRAY                             -- CN  6929  -7700     0  0
BROCK    999999 BROCK                            -- CN  7785 -11450   244  0
BROUGHTO 999999 BROUGHTON                        -- CN  5082 -12670     0  0
BUCKINGH 999999 BUCKINGHAM                       -- CN  7725  -9110     0  0
BYAM_MAR 999999 BYAM_MARTIN                      -- CN  7525 -10420   152  0
BYLOT    999999 BYLOT                            -- CN  7330  -7880  2134  0
CALVERT  999999 CALVERT                          -- CN  5156 -12800  1045  0
CAMERON  999999 CAMERON                          -- CN  7640 -10380   244  0
CAMPANIA 999999 CAMPANIA                         -- CN  5308 -12972   736  0
CAMPBELL 999999 CAMPBELL                         -- CN  5210 -12819   898  0
CAP_BRET 999999 CAP_BRETON                       -- CN  4625  -6090   495  0
CHARLTON 999999 CHARLTON                         -- CN  5200  -7945     0  0
COATS    999999 COATS                            -- CN  6260  -8290   221  0
COBURG   999999 COBURG                           -- CN  7600  -7900   762  0
CORNWALL 999999 CORNWALL                         -- CN  7760  -9500   366  0
CORNWALL 999999 CORNWALLIS                       -- CN  7520  -9500   290  0
CROWN_PR 999999 CROWN_PRINCE_FREDERIK            -- CN  7006  -8681   110  0
DEVON    999999 DEVON                            -- CN  7550  -8600  1906  0
DEXTERIT 999999 DEXTERITY                        -- CN  7160  -7275   878  0
DUNDAS   999999 DUNDAS                           -- CN  5456 -13084   463  0
EAST_HAR 999999 EAST_HARRISON                    -- CN  6936  -9039   116  0
EGLINTON 999999 EGLINTON                         -- CN  7580 -11850   213  0
ELLEF_RI 999999 ELLEF_RINGNES                    -- CN  7870 -10220   265  0
ELLESMER 999999 ELLESMERE                        -- CN  7900  -8000  2583  0
EMERALD  999999 EMERALD                          -- CN  7680 -11410     0  0
FLORES   999999 FLORES                           -- CN  4934 -12614     0  0
FOLEY    999999 FOLEY                            -- CN  6850  -7490    61  0
GATESHEA 999999 GATESHEAD                        -- CN  7858 -10050     0  0
GIL      999999 GIL                              -- CN  5319 -12925     0  0
GILFORD  999999 GILFORD                          -- CN  5073 -12638  1487  0
GRAHAM   999999 GRAHAM                           -- CN  7745  -9060   579  0
GRAHAM   999999 GRAHAM                           -- CN  5367 -13240  1143  0
GRIBBEL  999999 GRIBBEL                          -- CN  5342 -12900     0  0
GRIFFITH 999999 GRIFFITH                         -- CN  7460  -9550     0  0
HAWKESBU 999999 HAWKESBURY                       -- CN  5357 -12901     0  0
HELEN    999999 HELEN                            -- CN  6877  -8992     0  0
HELENA   999999 HELENA                           -- CN  7660 -10120     0  0
HOVED    999999 HOVED                            -- CN  7750  -8510     0  0
HUNTER   999999 HUNTER                           -- CN  5195 -12808   899  0
IGLOOLIK 999999 IGLOOLIK                         -- CN  6939  -8165     0  0
JENNY_LI 999999 JENNY_LIND                       -- CN  6870 -10195    69  0
JENS_MUN 999999 JENS_MUNK                        -- CN  6967  -8000   151  0
KING     999999 KING                             -- CN  5220 -12758  1676  0
KING_CHR 999999 KING_CHRISTIAN                   -- CN  7780 -10150   213  0
KING_WIL 999999 KING_WILLIAM                     -- CN  6920  -9750    28  0
KOCH     999999 KOCH                             -- CN  6960  -7825    60  0
KUNGHIT  999999 KUNGHIT                          -- CN  5205 -13102   533  0
LITTLE_C 999999 LITTLE_CORNWALLIS                -- CN  7540  -9650     0  0
LOUGHEED 999999 LOUGHEED                         -- CN  7740 -10520   122  0
LOWTHER  999999 LOWTHER                          -- CN  7455  -9920   192  0
MACCAULE 999999 MACCAULEY                        -- CN  5467 -13025     0  0
MACCLINT 999999 MACCLINTOCK                      -- CN  6905 -10008     0  0
MACKENZI 999999 MACKENZIE_KING                   -- CN  7975 -11150   457  0
MADAME   999999 MADAME                           -- CN  4555  -6101     0  0
MANSEL   999999 MANSEL                           -- CN  6200  -7965   130  0
MASSEY   999999 MASSEY                           -- CN  7600 -10300     0  0
MATTY    999999 MATTY                            -- CN  6950  -9556    58  0
MEIGHEN  999999 MEIGHEN                          -- CN  7990  -9960   274  0
MELBOURN 999999 MELBOURNE                        -- CN  6850 -10467    76  0
MELVILLE 999999 MELVILLE                         -- CN  7550 -11100  1067  0
MORESBY  999999 MORESBY                          -- CN  5264 -13165  1143  0
NEWFOUND 999999 NEWFOUNDLAND                     -- CN  4800  -5650   805  0
NOOTKA   999999 NOOTKA                           -- CN  4975 -12675   940  0
NORTH_KE 999999 NORTH_KENT                       -- CN  7670  -9030   762  0
NORTH_SP 999999 NORTH_SPICER                     -- CN  6855  -7867    46  0
NOTTINGH 999999 NOTTINGHAM                       -- CN  6330  -7795   412  0
ORMONDE  999999 ORMONDE                          -- CN  6975  -8263     0  0
PANDORA  999999 PANDORA                          -- CN  7275  -9685     0  0
PEARSE   999999 PEARSE                           -- CN  5490 -13029   838  0
PEDONDA  999999 PEDONDA                          -- CN  5024 -12473     0  0
PENNY    999999 PENNY                            -- CN  5212 -12797  1044  0
POOLEY   999999 POOLEY                           -- CN  5275 -12825     0  0
PORCHER  999999 PORCHER                          -- CN  5395 -13040   899  0
PRESCOTT 999999 PRESCOTT                         -- CN  7300  -9690   297  0
PRICE    999999 PRICE                            -- CN  5237 -12870     0  0
PRINCE_C 999999 PRINCE_CHARLES                   -- CN  6770  -7600    30  0
PRINCE_E 999999 PRINCE_EDWARD                    -- CN  4640  -6325   134  0
PRINCE_L 999999 PRINCE_LEOPOLD                   -- CN  7405  -9025     0  0
PRINCE_O 999999 PRINCE_OF_WALES                  -- CN  7250  -9900     0  0
PRINCE_P 999999 PRINCE_PATRICK                   -- CN  7670 -11900   274  0
PRINCESS 999999 PRINCESS_ROYAL                   -- CN  5297 -12884  1676  0
QUADRA   999999 QUADRA                           -- CN  5020 -12515     0  0
RESOLUTI 999999 RESOLUTION                       -- CN  6150  -6500     0  0
RODERICK 999999 RODERICK                         -- CN  5263 -12832   305  0
ROWLEY   999999 ROWLEY                           -- CN  6910  -7875   137  0
ROYAL_GE 999999 ROYAL_GEOGRAPHICAL_SOCIETY       -- CN  6892 -10045    53  0
RUSSELL  999999 RUSSELL                          -- CN  7390  -9850   248  0
SABLE    999999 SABLE                            -- CN  4395  -6000     0  0
SALISBUR 999999 SALISBURY                        -- CN  6355  -7700   503  0
SILLEM   999999 SILLEM                           -- CN  7095  -7175  1522  0
SOMERSET 999999 SOMERSET                         -- CN  7350  -9300     0  0
SOUTH_SP 999999 SOUTH_SPICER                     -- CN  6830  -7900    55  0
SOUTHAMP 999999 SOUTHAMPTON                      -- CN  6450  -8390   625  0
STEFANSS 999999 STEFANSSON                       -- CN  7350 -10550     0  0
STOR     999999 STOR                             -- CN  7890  -8590   527  0
SWINDLE  999999 SWINDLE                          -- CN  5253 -12859     0  0
TENNENT  999999 TENNENT                          -- CN  6950  -9625    76  0
TEXADA   999999 TEXADA                           -- CN  4967 -12436   891  0
THORN    999999 THORN                            -- CN  7825 -10320     0  0
VANCOUVE 999999 VANCOUVER                        -- CN  4967 -12550  2192  0
VANIER   999999 VANIER                           -- CN  7625 -10320   213  0
VANSITTA 999999 VANSITTART                       -- CN  6584  -8387   255  0
VICTORIA 999999 VICTORIA                         -- CN  7100 -11000   650  0
WALES    999999 WALES                            -- CN  6800  -8650   165  0
WEST_HAR 999999 WEST_HARRISON                    -- CN  6934  -9042     0  0
WHITE    999999 WHITE                            -- CN  6584  -8484   381  0
WINTER   999999 WINTER                           -- CN  8325  -8310    81  0
