! SNAP.TBL
!
! This table contains aviation VOR points and all VOR-relative points.
! VOR-relative points, or 'snapable' points are all points relative to
! individual VOR points located on a 16 point compass in 10nm intervals.
!
! The format for the file is given below, with the number of characters in
! parentheses.
!
!!
! Log:
! J. Wu/SAIC	        01/05   Created table
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!
!STID    STNM   NAME                            ST CO   LAT    LON   ELV  PRI
!(8)     (6)    (32)                            (2)(2)  (5)    (6)   (5)  (2)
YSJ00000      9 YSJ                              -  -   4532  -6588     0  1
YSJ00001      9 20N_YSJ                          -  -   4565  -6588     0  2
YSJ00002      9 30N_YSJ                          -  -   4582  -6588     0  2
YSJ00003      9 40N_YSJ                          -  -   4599  -6588     0  2
YSJ00004      9 50N_YSJ                          -  -   4615  -6588     0  2
YSJ00005      9 60N_YSJ                          -  -   4632  -6588     0  2
YSJ00006      9 70N_YSJ                          -  -   4649  -6588     0  2
YSJ00007      9 20NNE_YSJ                        -  -   4563  -6570     0  2
YSJ00008      9 30NNE_YSJ                        -  -   4578  -6561     0  2
YSJ00009      9 40NNE_YSJ                        -  -   4593  -6551     0  2
YSJ00010      9 50NNE_YSJ                        -  -   4609  -6542     0  2
YSJ00011      9 60NNE_YSJ                        -  -   4624  -6533     0  2
YSJ00012      9 70NNE_YSJ                        -  -   4640  -6523     0  2
YSJ00013      9 80NNE_YSJ                        -  -   4655  -6514     0  2
YSJ00014      9 90NNE_YSJ                        -  -   4670  -6504     0  2
YSJ00015      9 100NNE_YSJ                       -  -   4685  -6495     0  2
YSJ00016      9 110NNE_YSJ                       -  -   4701  -6485     0  2
YSJ00017      9 120NNE_YSJ                       -  -   4716  -6476     0  2
YSJ00018      9 130NNE_YSJ                       -  -   4731  -6466     0  2
YSJ00019      9 140NNE_YSJ                       -  -   4747  -6456     0  2
YSJ00020      9 150NNE_YSJ                       -  -   4762  -6446     0  2
YSJ00021      9 160NNE_YSJ                       -  -   4777  -6436     0  2
YSJ00022      9 20NE_YSJ                         -  -   4556  -6554     0  2
YSJ00023      9 30NE_YSJ                         -  -   4567  -6537     0  2
YSJ00024      9 40NE_YSJ                         -  -   4579  -6520     0  2
YSJ00025      9 50NE_YSJ                         -  -   4591  -6503     0  2
YSJ00026      9 60NE_YSJ                         -  -   4602  -6486     0  2
YSJ00027      9 70NE_YSJ                         -  -   4614  -6469     0  2
YSJ00028      9 80NE_YSJ                         -  -   4625  -6452     0  2
YSJ00029      9 90NE_YSJ                         -  -   4637  -6434     0  2
YSJ00030      9 100NE_YSJ                        -  -   4649  -6417     0  2
