! SPCWATCH.TBL
!
! This table contains Storm Prediction Center Watch Corner Points.
!
! The format for the file is given below, with the number of characters in
! parentheses.
!
!!
! Log:
! G. Krueger/EAI	10/97
! G. Grosshans/SPC	 7/99	- changed 3OI -> 0YZ 
! G. Grosshans/SPC	 9/99	- changed 0YZ -> LWD 
! G. Grosshans/SPC      12/99   - coordination with J. Wakefield, changes
!                                 to TUS, TCS, and P38
! D. Kidwell/NCEP	 5/00	- changed 16 site ids per change notice
!                                 00-49, effective June 7 2000 1300UTC
! G. Grosshans/SPC	 8/01	- Fixed spelling of TALLAHASSEE
! G. Grosshans/SPC	 2/02	- Updated to add more points 
! G. Grosshans/SPC	 7/05	- Updated for GPI
! G. Grosshans/SPC	 7/05	- changed, effective with change notice
!                                 in fall 2005.
! G. Grosshans/SPC       8/05   - Removed 5I3(PIKEVILLE,KY), per FAA FSS
!                                 alerting us to SID not being valid anymore
! G. Grosshans/SPC	 6/06	- Removed "'" in ONIELL for directive
!				  WMO character compliance 
! G. Grosshans/SPC	 05/08	- Removed 0A8, 4FC 63S and 81V per
!				  communication with Richard Taufman/FAA
!				  who indicated these locations are not
!				  in the FAA RMSL file used by WARP.
! G. Grosshans/SPC	 08/11	- Removed CGX per CWSU who called regarding
!				  watch #694 indicating anchor point is no
!				  longer valid (Chicago area).
! G. Grosshans/SPC	 08/13	- Commented out RQB, Roben Hood, MI per
!				  OPS Branch Chief Bill Bunting.  Weiss and
!				  Bill think this reference is too confusing
!				  since its the name of an airport and not
!				  Big Rapids, MI, where the airport is located.
!				  Its still a "valid" anchor point, it just
!				  will NOT be a anchor point fcsts can pick.
!                
!                                 NOTE: THIS IS A DRAFT FOR WEB
! 
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!
!STID    STNM   NAME                             ST CO   LAT    LON  ELV PRI
!(8)     (6)    (32)                            (2)(2)   (5)    (6)   (5)(2)
!
EPM      000504 EASTPORT                         ME US  4492  -6702     0  0
HUL      000501 HOULTON                          ME US  4612  -6780     0  0
CAR      000500 CARIBOU                          ME US  4687  -6802     0  0
BHB      000499 BAR_HARBOR                       ME US  4445  -6837     0  0
BGR      000498 BANGOR                           ME US  4480  -6883     0  0
AUG      000497 AUGUSTA                          ME US  4432  -6980     0  0
ACK      000474 NANTUCKET                        MA US  4125  -7006     0  0
HYA      000478 HYANNIS                          MA US  4167  -7028     0  0
PWM      000502 PORTLAND                         ME US  4365  -7031     0  0
PSM      000492 PORTSMOUTH                       NH US  4308  -7081     0  0
EWB      000477 NEW_BEDFORD                      MA US  4168  -7097     0  0
BOS      000476 BOSTON                           MA US  4237  -7100     0  0
BML      000486 BERLIN                           NH US  4465  -7118     0  0
MWN      000491 MOUNT_WASHINGTON                 NH US  4427  -7130     0  0
LCI      000489 LACONIA                          NH US  4357  -7142     0  0
PVD      000485 PROVIDENCE                       RI US  4173  -7143     0  0
CON      000487 CONCORD                          NH US  4320  -7150     0  0
BID      000484 BLOCK_ISLAND                     RI US  4117  -7158     0  0
ORH      000479 WORCESTER                        MA US  4227  -7188     0  0
GON      000483 GROTON                           CT US  4133  -7205     0  0
EFK      000494 NEWPORT                          VT US  4490  -7223     0  0
EEN      000488 KEENE                            NH US  4290  -7227     0  0
LEB      000490 LEBANON                          NH US  4363  -7230     0  0
MPV      000495 MONTPELIER                       VT US  4420  -7256     0  0
BDL      000481 WINDSOR_LOCKS                    CT US  4193  -7263     0  0
BAF      000475 WESTFIELD                        MA US  4215  -7272     0  0
RUT      000496 RUTLAND                          VT US  4353  -7295     0  0
ISP      000410 ISLIP                            NY US  4079  -7309     0  0
BDR      000482 BRIDGEPORT                       CT US  4117  -7313     0  0
BTV      000493 BURLINGTON                       VT US  4447  -7315     0  0
PSF      000480 PITTSFIELD                       MA US  4243  -7330     0  0
GFL      000409 GLENS_FALLS                      NY US  4333  -7362     0  0
JFK      000413 NEW_YORK_CITY                    NY US  4063  -7378     0  0
ALB      000404 ALBANY                           NY US  4275  -7380     0  0
POU      000417 POUGHKEEPSIE                     NY US  4163  -7388     0  0
EWR      000469 NEWARK                           NJ US  4070  -7417     0  0
SLK      000419 SARANAC_LAKE                     NY US  4438  -7420     0  0
NEL      000470 LAKEHURST                        NJ US  4004  -7433     0  0
ACY      000468 ATLANTIC_CITY                    NJ US  3945  -7458     0  0
MSV      000415 MONTICELLO                       NY US  4170  -7480     0  0
TTN      000471 TRENTON                          NJ US  4028  -7481     0  0
MSS      000414 MASSENA                          NY US  4493  -7484     0  0
PHL      000401 PHILADELPHIA                     PA US  3986  -7525     0  0
UCA      000421 UTICA                            NY US  4315  -7538     0  0
ABE      000391 ALLENTOWN                        PA US  4065  -7543     0  0
DOV      000472 DOVER                            DE US  3913  -7547     0  0
WAL      000452 WALLOPS                          VA US  3793  -7547     0  0
SBY      000466 SALISBURY                        MD US  3833  -7550     0  0
HSE      000436 CAPE_HATTERAS                    NC US  3522  -7562     0  0
ILG      000473 WILMINGTON                       DE US  3968  -7559     0  0
AVP      000393 WILKESBARRE                      PA US  4133  -7572     0  0
BGM      000406 BINGHAMTON                       NY US  4220  -7598     0  0
ART      000405 WATERTOWN                        NY US  4400  -7602     0  0
SYR      000420 SYRACUSE                         NY US  4312  -7612     0  0
ECG      000431 ELIZABETH_CITY                   NC US  3627  -7618     0  0
ORF      000447 NORFOLK                          VA US  3690  -7620     0  0
NHK      000465 PATUXENT_RIVER                   MD US  3828  -7642     0  0
ITH      000411 ITHACA                           NY US  4248  -7645     0  0
BWI      000463 BALTIMORE                        MD US  3918  -7667     0  0
CXY      000395 HARRISBURG                       PA US  4022  -7684     0  0
ELM      000408 ELMIRA                           NY US  4217  -7690     0  0
IPT      000399 WILLIAMSPORT                     PA US  4125  -7692     0  0
DCA      000467 WASHINGTON                       DC US  3885  -7703     0  0
EWN      000432 NEW_BERN                         NC US  3507  -7705     0  0
RIC      000449 RICHMOND                         VA US  3750  -7731     0  0
OAJ      000440 JACKSONVILLE                     NC US  3483  -7762     0  0
ROC      000418 ROCHESTER                        NY US  4312  -7767     0  0
HGR      000464 HAGERSTOWN                       MD US  3970  -7772     0  0
RWI      000442 ROCKY_MOUNT                      NC US  3585  -7790     0  0
ILM      000439 WILMINGTON                       NC US  3427  -7790     0  0
GSB      000434 GOLDSBORO                        NC US  3545  -7797     0  0
MRB      000460 MARTINSBURG                      WV US  3940  -7798     0  0
AOO      000392 ALTOONA                          PA US  4029  -7831     0  0
CHO      000444 CHARLOTTESVILLE                  VA US  3813  -7845     0  0
BFD      000394 BRADFORD                         PA US  4180  -7863     0  0
BUF      000407 BUFFALO                          NY US  4293  -7873     0  0
RDU      000441 RALEIGH                          NC US  3586  -7878     0  0
FAY      000433 FAYETTEVILLE                     NC US  3497  -7888     0  0
DUJ      000396 DUBOIS                           PA US  4118  -7890     0  0
SHD      000451 STAUNTON                         VA US  3827  -7890     0  0
CRE      000427 MYRTLE_BEACH                     SC US  3368  -7893     0  0
LYH      000446 LYNCHBURG                        VA US  3733  -7920     0  0
JHW      000412 JAMESTOWN                        NY US  4215  -7925     0  0
DAN      000445 DANVILLE                         VA US  3657  -7933     0  0
SOP      000443 SOUTHERN_PINES                   NC US  3522  -7938     0  0
LBE      000400 LATROBE                          PA US  4028  -7940     0  0
FLO      000425 FLORENCE                         SC US  3418  -7972     0  0
EKN      000456 ELKINS                           WV US  3888  -7984     0  0
FKL      000398 FRANKLIN                         PA US  4138  -7987     0  0
MGW      000459 MORGANTOWN                       WV US  3965  -7992     0  0
GSO      000435 GREENSBORO                       NC US  3610  -7993     0  0
ROA      000450 ROANOKE                          VA US  3732  -7998     0  0
CHS      000424 CHARLESTON                       SC US  3290  -8003     0  0
PBI      000059 WEST_PALM_BEACH                  FL US  2668  -8009     0  0
ERI      000397 ERIE                             PA US  4208  -8018     0  0
PIT      000402 PITTSBURGH                       PA US  4050  -8023     0  0
MIA      000056 MIAMI                            FL US  2580  -8028     0  0
SSU      000462 WHITE_SULPHUR_SPRINGS            WV US  3778  -8033     0  0
VRB      000065 VERO_BEACH                       FL US  2765  -8042     0  0
MLB      000057 MELBOURNE                        FL US  2810  -8063     0  0
HLG      000457 WHEELING                         WV US  4018  -8065     0  0
YNG      000332 YOUNGSTOWN                       OH US  4125  -8068     0  0
PSK      000448 DUBLIN                           VA US  3713  -8068     0  0
CLT      000430 CHARLOTTE                        NC US  3522  -8095     0  0
DAB      000050 DAYTONA_BEACH                    FL US  2918  -8105     0  0
BKW      000453 BECKLEY                          WV US  3778  -8112     0  0
CAE      000423 COLUMBIA                         SC US  3393  -8112     0  0
BLF      000454 BLUEFIELD                        WV US  3729  -8120     0  0
SAV      000218 SAVANNAH                         GA US  3213  -8120     0  0
ORL      000058 ORLANDO                          FL US  2855  -8133     0  0
AGR      000046 AVON_PARK                        FL US  2765  -8133     0  0
HKY      000437 HICKORY                          NC US  3572  -8138     0  0
CAK      000323 AKRON                            OH US  4092  -8143     0  0
PKB      000461 PARKERSBURG                      WV US  3935  -8143     0  0
SSI      000219 BRUNSWICK                        GA US  3115  -8145     0  0
CRW      000455 CHARLESTON                       WV US  3836  -8159     0  0
JAX      000054 JACKSONVILLE                     FL US  3050  -8168     0  0
EYW      000051 KEY_WEST                         FL US  2455  -8177     0  0
CLE      000324 CLEVELAND                        OH US  4142  -8184     0  0
FMY      000052 FORT_MYERS                       FL US  2658  -8187     0  0
ZZV      000333 ZANESVILLE                       OH US  3995  -8190     0  0
SPA      000428 SPARTANBURG                      SC US  3492  -8197     0  0
AGS      000209 AUGUSTA                          GA US  3336  -8197     0  0
GSP      000426 GREENVILLE                       SC US  3490  -8222     0  0
UNI      000331 ATHENS                           OH US  3922  -8223     0  0
GNV      000053 GAINESVILLE                      FL US  2968  -8227     0  0
TRI      000350 BRISTOL                          TN US  3647  -8240     0  0
AYS      000212 WAYCROSS                         GA US  3125  -8240     0  0
MFD      000329 MANSFIELD                        OH US  4082  -8252     0  0
HTS      000458 HUNTINGTON                       WV US  3836  -8255     0  0
AVL      000429 ASHEVILLE                        NC US  3543  -8255     0  0
SRQ      000063 SARASOTA                         FL US  2740  -8255     0  0
PIE      000061 SAINT_PETERSBURG                 FL US  2792  -8268     0  0
AND      000422 ANDERSON                         SC US  3450  -8272     0  0
HSS      000438 HOT_SPRINGS                      NC US  3590  -8282     0  0
MTC      000289 MOUNT_CLEMENS                    MI US  4260  -8283     0  0
CMH      000325 COLUMBUS                         OH US  4000  -8288     0  0
CTY      000049 CROSS_CITY                       FL US  2963  -8310     0  0
VLD      000220 VALDOSTA                         GA US  3078  -8328     0  0
AHN      000210 ATHENS                           GA US  3395  -8333     0  0
DTW      000276 DETROIT                          MI US  4222  -8335     0  0
JKL      000336 JACKSON                          KY US  3754  -8338     0  0
OSC      000290 OSCODA                           MI US  4445  -8340     0  0
APN      000271 ALPENA                           MI US  4508  -8357     0  0
MCN      000215 MACON                            GA US  3270  -8365     0  0
FDY      000327 FINDLAY                          OH US  4102  -8367     0  0
FNT      000278 FLINT                            MI US  4297  -8375     0  0
ARB      000272 ANN_ARBOR                        MI US  4222  -8375     0  0
TOL      000330 TOLEDO                           OH US  4158  -8380     0  0
MGR      000216 MOULTRIE                         GA US  3108  -8380     0  0
TYS      000351 KNOXVILLE                        TN US  3582  -8400     0  0
MBS      000286 SAGINAW                          MI US  4353  -8408     0  0
LOZ      000338 LONDON                           KY US  3708  -8408     0  0
ABY      000208 ALBANY                           GA US  3153  -8420     0  0
DAY      000326 DAYTON                           OH US  3990  -8422     0  0
TLH      000064 TALLAHASSEE                      FL US  3040  -8435     0  0
ANJ      000292 SAULT_STE_MARIE                  MI US  4647  -8437     0  0
LUK      000328 CINCINNATI                       OH US  3910  -8442     0  0
ATL      000211 ATLANTA                          GA US  3363  -8443     0  0
JXN      000283 JACKSON                          MI US  4227  -8447     0  0
LAN      000284 LANSING                          MI US  4278  -8458     0  0
LEX      000337 LEXINGTON                        KY US  3803  -8460     0  0
HTL      000280 HOUGHTON_LAKE                    MI US  4435  -8467     0  0
PLN      000291 PELLSTON                         MI US  4557  -8480     0  0
CSG      000213 COLUMBUS                         GA US  3252  -8493     0  0
AAF      000047 APALACHICOLA                     FL US  2973  -8503     0  0
LGC      000214 LA_GRANGE                        GA US  3300  -8507     0  0
CSV      000346 CROSSVILLE                       TN US  3595  -8508     0  0
RMG      000217 ROME                             GA US  3435  -8517     0  0
FWA      000265 FORT_WAYNE                       IN US  4098  -8518     0  0
MAI      000055 MARIANNA                         FL US  3085  -8518     0  0
CHA      000344 CHATTANOOGA                      TN US  3503  -8520     0  0
MIE      000269 MUNCIE                           IN US  4025  -8540     0  0
AUO      000196 AUBURN                           AL US  3261  -8543     0  0
DHN      000199 DOTHAN                           AL US  3132  -8545     0  0
GRR      000279 GRAND_RAPIDS                     MI US  4288  -8552     0  0
AZO      000273 KALAMAZOO                        MI US  4223  -8555     0  0
TVC      000293 TRAVERSE_CITY                    MI US  4473  -8558     0  0
PFN      000060 PANAMA_CITY                      FL US  3022  -8568     0  0
SDF      000341 LOUISVILLE                       KY US  3818  -8573     0  0
ANB      000195 ANNISTON                         AL US  3358  -8585     0  0
TOI      000207 TROY                             AL US  3187  -8602     0  0
GAD      000200 GADSDEN                          AL US  3397  -8608     0  0
MKG      000287 MUSKEGON                         MI US  4317  -8623     0  0
MBL      000285 MANISTEE                         MI US  4427  -8625     0  0
IND      000267 INDIANAPOLIS                     IN US  3972  -8628     0  0
SBN      000270 SOUTH_BEND                       IN US  4170  -8632     0  0
MGM      000202 MONTGOMERY                       AL US  3229  -8640     0  0
BWG      000334 BOWLING_GREEN                    KY US  3697  -8642     0  0
BEH      000274 BENTON_HARBOR                    MI US  4213  -8643     0  0
CEW      000048 CRESTVIEW                        FL US  3078  -8652     0  0
BMG      000263 BLOOMINGTON                      IN US  3915  -8662     0  0
BNA      000343 NASHVILLE                        TN US  3613  -8668     0  0
BHM      000197 BIRMINGHAM                       AL US  3357  -8675     0  0
HSV      000201 HUNTSVILLE                       AL US  3465  -8678     0  0
LAF      000268 LAFAYETTE                        IN US  4042  -8693     0  0
SEM      000205 SELMA                            AL US  3235  -8698     0  0
ESC      000277 ESCANABA                         MI US  4572  -8710     0  0
OWB      000339 OWENSBORO                        KY US  3772  -8717     0  0
PNS      000062 PENSACOLA                        FL US  3047  -8718     0  0
HUF      000266 TERRE_HAUTE                      IN US  3945  -8732     0  0
CKV      000345 CLARKSVILLE                      TN US  3661  -8742     0  0
