! VOLCANO.TBL
!
! This table contains the locations of volcanoes.
!
! The format for the file is given below, with the number of characters in
! parentheses.
!
! Log:
! G. Krueger/EAI         1/00   Generated original
! A. Hardy/NCEP          6/03   Fixed the spelling for TUNGURAHUA
! R. Tian/SAIC           7/03   Recreated from $GEMPAK/data/tables/volcano_smithsonian.orig.tbl
! D.W.Plummer/NCEP       8/04   Added Anatahan (Mariana Is-C Pacific)
! D.W.Plummer/NCEP       8/04   Reconcile w/ NESDIS/SAB operations
! S. Jacobs/NCEP        12/10   Reconcile w/ NESDIS/SAB operations
! S. Gilbert/NCEP        2/14   Updated ID numbers based on new info from Smithsonian
! S. Gilbert/NCEP       11/14   Renamed Negro_de_Mayasquer,_Cerro to Chiles-Cerro_Negro
! S. Guan/NCEP           8/16   Added Sotara (Columbia)
! S. Guan/NCEP           1/17   Updated LAT, LON. and ELV from http://volcano.si.edu/projects/vaac-data/
! B. Hebbard/NCEP        2/23   Updated LAT, LON. and ELV from current SI where avail
!-------------------------------------------------------------------
!
!STID    STNM   NAME                             ST CO   LAT    LON  ELV PRI LOCATION
!(8)     (6)    (32)                            (2)(2)   (5)    (6)   (5)(2) (20)
!
342080   999999 Acatenango                       -- --  1450  -9088  3976  0 Guatemala
321040   999999 Adams                            -- --  4621 -12149  3742  0 US-Washington
283170   999999 Adatara                          -- --  3765  14028  1728  0 Honshu-Japan
284160   999999 Agrigan                          -- --  1877  14567   965  0 Mariana.Is-C.Pacific
264020   999999 Agung                            -- --  -834  11551  2997  0 Lesser.Sunda.Is
300125   999999 Akademia_Nauk                    -- --  5398  15945  1180  0 Kamchatka
285070   999999 Akan                             -- --  4338  14401  1499  0 Hokkaido-Japan
283230   999999 Akita-Komaga-take                -- --  3976  14080  1637  0 Honshu-Japan
283260   999999 Akita-Yake-yama                  -- --  3996  14076  1366  0 Honshu-Japan
311320   999999 Akutan                           -- --  5413 -16599  1303  0 Aleutian.Is
290390   999999 Alaid                            -- --  5086  15556  2285  0 Kuril.Is
221112   999999 Alayta                           -- --  1289   4057  1496  0 Ethiopia
353040   999999 Alcedo,_Volcan                   -- --   -43  -9112  1130  0 Galapagos
257040   999999 Ambrym                           -- -- -1625  16812  1334  0 Vanuatu-SW.Pacific
311190   999999 Amukta                           -- --  5250 -17125  1066  0 Aleutian_Is
284200   999999 Anatahan                         -- --  1635  14567   790  0 Mariana.Islands
312090   999999 Aniakchak                        -- --  5688 -15817  1341  0 Alaska.Peninsula
257030   999999 Aoba                             -- -- -1539  16784  1496  0 Vanuatu-SW.Pacific
355160   999999 Aracar                           -- -- -2429  -6778  6095  0 Argentina
221126   999999 Ardoukoba                        -- --  1158   4247   298  0 Djibouti
345033   999999 Arenal                           -- --  1046  -8470  1670  0 Costa.Rica
263290   999999 Arjuno-Welirang                  -- --  -773  11258  3343  0 Java
283110   999999 Asama                            -- --  3641  13852  2568  0 Honshu-Japan
373060   999999 Askja                            -- --  6503  -1678  1080  0 Iceland-NE
282110   999999 Asosan                           -- --  3288  13110  1592  0 Kyushu-Japan
284150   999999 Asuncion                         -- --  1967  14541   857  0 Mariana.Is-C.Pacific
342060   999999 Atitlan                          -- --  1458  -9119  3535  0 Guatemala
311160   999999 Atka                             -- --  5233 -17414  1518  0 Aleutian.Is
290050   999999 Atsonupuri                       -- --  4481  14713  1206  0 Kuril.Is
313010   999999 Augustine                        -- --  5936 -15343  1252  0 Alaska-SW
300100   999999 Avachinsky                       -- --  5326  15884  2717  0 Kamchatka
267040   999999 Awu                              -- --   369  12545  1318  0 Sangihe.Is-Indonesia
331021   999999 Axial_Seamount                   -- --  4595 -13000 -1410  0 Pacific-NE
353060   999999 Azul,_Cerro                      -- --   -92  -9141  1640  0 Galapagos
357060   999999 Azul,_Cerro_[Quizapu]            -- -- -3565  -7076  3788  0 Chile-C
283180   999999 Azuma                            -- --  3774  14024  1949  0 Honshu-Japan
274030   999999 Babuyan_Claro                    -- --  1952  12195  1064  0 Luzon
255020   999999 Bagana                           -- --  -614  15520  1855  0 Bougainville-SW.Paci
321010   999999 Baker                            -- --  4878 -12181  3285  0 US-Washington
251010   999999 Bam                              -- --  -361  14482   685  0 New_Guinea
265090   999999 Banda_Api                        -- --  -452  12988   596  0 Banda.Sea
267030   999999 Banua_Wuhu                       -- --   314  12549    -5  0 Sangihe.Is.Indonesia
290080   999999 Baransky                         -- --  4510  14802  1125  0 Kuril.Is
341020   999999 Barcena                          -- --  1930 -11082   332  0 Mexico-Is
373030   999999 Bardarbunga                      -- --  6463  -1752  2000  0 Iceland-NE
260010   999999 Barren_Island                    -- --  1228   9386   354  0 Andaman.Is-Indian.O
222030   999999 Barrier,_The                     -- --   232   3657  1032  0 Africa-E
264010   999999 Batur                            -- --  -824  11538  1717  0 Lesser.Sunda.Is
