! VOLCANO_NAMES.TBL
!
! This table contains the locations of volcanoes.
!
! The format for the file is given below, with the number of characters in
! parentheses.
!
! Log:
! G. Krueger/EAI         1/00   Generated original
! A. Hardy/NCEP          6/03   Fixed the spelling for TUNGURAHUA
! R. Tian/SAIC           7/03   Recreated from $GEMPAK/data/tables/volcano_smithsonian.orig.tbl
! B. Hughes/SAB          2/04   Changed Smithsonian Number to Volcano Names for Map (D. Plummer)
! S. Guan/NCEP           1/17   Updated LAT, LON. and ELV from http://volcano.si.edu/projects/vaac-data/
!
!-------------------------------------------------------------------
!
!STID    STNM   NAME                             ST CO   LAT    LON  ELV PRI LOCATION
!(8)     (6)    (32)                            (2)(2)   (5)    (6)   (5)(2) (20)
!
Acatenan 999999 Acatenango                       -- --  1450  -9088  3976  0 Guatemala           
Adams    999999 Adams                            -- --  4621 -12149  3742  0 US-Washington       
Adatara  999999 Adatara                          -- --  3765  14028  1728  0 Honshu-Japan        
Agrigan  999999 Agrigan                          -- --  1877  14567   965  0 Mariana.Is-C.Pacific
Agung    999999 Agung                            -- --  -834  11551  3142  0 Lesser.Sunda.Is     
Akademia 999999 Akademia_Nauk                    -- --  5398  15945  1180  0 Kamchatka           
Akan     999999 Akan                             -- --  4338  14401  1499  0 Hokkaido-Japan      
Akita-Ko 999999 Akita-Komaga-take                -- --  3976  14080  1637  0 Honshu-Japan        
Akita-Ya 999999 Akita-Yake-yama                  -- --  3996  14076  1366  0 Honshu-Japan        
Akutan   999999 Akutan                           -- --  5413 -16599  1303  0 Aleutian.Is         
Alaid    999999 Alaid                            -- --  5086  15557  2285  0 Kuril.Is            
Alayta   999999 Alayta                           -- --  1289   4057  1496  0 Ethiopia            
Alcedo,_ 999999 Alcedo,_Volcan                   -- --   -43  -9112  1130  0 Galapagos           
Ambrym   999999 Ambrym                           -- -- -1625  16812  1334  0 Vanuatu-SW.Pacific  
Amukta   999999 Amukta                           -- --  5250 -17125  1066  0 Aleutian_Is         
Anatahan 999999 Anatahan                         -- --  1635  14567   790  0 Mariana.Islands     
Aniakcha 999999 Aniakchak                        -- --  5688 -15817  1341  0 Alaska.Peninsula    
Aoba     999999 Aoba                             -- -- -1540  16783  1496  0 Vanuatu-SW.Pacific  
Aracar   999999 Aracar                           -- -- -2429  -6778  6095  0 Argentina           
Ardoukob 999999 Ardoukoba                        -- --  1158   4247   298  0 Djibouti            
Arenal   999999 Arenal                           -- --  1046  -8470  1670  0 Costa.Rica          
Arjuno-W 999999 Arjuno-Welirang                  -- --  -773  11258  3339  0 Java                
Asama    999999 Asama                            -- --  3641  13852  2568  0 Honshu-Japan        
Askja    999999 Askja                            -- --  6503  -1678  1080  0 Iceland-NE          
Asosan   999999 Asosan                           -- --  3288  13110  1592  0 Kyushu-Japan        
Asuncion 999999 Asuncion                         -- --  1967  14541   857  0 Mariana.Is-C.Pacific
Atitlan  999999 Atitlan                          -- --  1458  -9119  3535  0 Guatemala           
Atka     999999 Atka                             -- --  5233 -17414  1448  0 Aleutian.Is         
Atsonupu 999999 Atsonupuri                       -- --  4481  14713  1206  0 Kuril.Is            
Augustin 999999 Augustine                        -- --  5936 -15343  1252  0 Alaska-SW           
Avachins 999999 Avachinsky                       -- --  5326  15884  2717  0 Kamchatka           
Awu      999999 Awu                              -- --   367  12550  1320  0 Sangihe.Is-Indonesia
Axial_Se 999999 Axial_Seamount                   -- --  4595 -13000 -1410  0 Pacific-NE          
Azul,_Ce 999999 Azul,_Cerro                      -- --   -92  -9141  1640  0 Galapagos           
Azul,_Ce 999999 Azul,_Cerro_[Quizapu]            -- -- -3565  -7076  3788  0 Chile-C             
Azuma    999999 Azuma                            -- --  3774  14024  1949  0 Honshu-Japan        
Babuyan_ 999999 Babuyan_Claro                    -- --  1952  12194  1080  0 Luzon               
Bagana   999999 Bagana                           -- --  -614  15520  1855  0 Bougainville-SW.Paci
