! VOLCANO_NAMES.TBL
!
! This table contains the locations of volcanoes.
!
! The format for the file is given below, with the number of characters in
! parentheses.
!
! Log:
! G. Krueger/EAI         1/00   Generated original
! A. Hardy/NCEP          6/03   Fixed the spelling for TUNGURAHUA
! R. Tian/SAIC           7/03   Recreated from $GEMPAK/data/tables/volcano_smithsonian.orig.tbl
! B. Hughes/SAB          2/04   Changed Smithsonian Number to Volcano Names for Map (D. Plummer)
! S. Guan/NCEP           1/17   Updated LAT, LON. and ELV from http://volcano.si.edu/projects/vaac-data/
! B. Hebbard/NCEP        2/23   Updated to include all SI GVP volcanoes with Last Known Eruption in CE
!
!-------------------------------------------------------------------
!
!STID    STNM   NAME                             ST CO   LAT    LON  ELV PRI LOCATION
!(8)     (6)    (32)                            (2)(2)   (5)    (6)   (5)(2) (20)
!
Acatenan 999999 Acatenango                       -- --  1450  -9088  3976  0 Guatemala
Adams    999999 Adams                            -- --  4621 -12149  3742  0 US-Washington
Adatara  999999 Adatara                          -- --  3765  14028  1728  0 Honshu-Japan
Agrigan  999999 Agrigan                          -- --  1877  14567   965  0 Mariana.Is-C.Pacific
Agua_de_ 999999 Agua_de_Pau                      -- --  3777  -2547   947  0 Azores
Agung    999999 Agung                            -- --  -834  11551  2997  0 Lesser.Sunda.Is
Ahyi     999999 Ahyi                             -- --  2042  14503   -75  0 Mariana.Is-C.Pacific
Akademia 999999 Akademia_Nauk                    -- --  5398  15945  1180  0 Kamchatka
Akan     999999 Akan                             -- --  4338  14401  1499  0 Hokkaido-Japan
Akita-Ko 999999 Akita-Komaga-take                -- --  3976  14080  1637  0 Honshu-Japan
Akita-Ya 999999 Akita-Yake-yama                  -- --  3996  14076  1366  0 Honshu-Japan
Akutan   999999 Akutan                           -- --  5413 -16599  1303  0 Aleutian.Is
Alaid    999999 Alaid                            -- --  5086  15556  2285  0 Kuril.Is
Alamagan 999999 Alamagan                         -- --  1760  14583   744  0 Mariana.Is-C.Pacific
Alayta   999999 Alayta                           -- --  1289   4057  1496  0 Ethiopia
Alcedo,_ 999999 Alcedo,_Volcan                   -- --   -43  -9112  1130  0 Galapagos
Almolong 999999 Almolonga                        -- --  1480  -9152  3173  0 Guatemala
Alney-Ch 999999 Alney-Chashakondzha              -- --  5666  15965  2570  0 Kamchatka
Alu-Dala 999999 Alu-Dalafilla                    -- --  1379   4055   578  0 Ethiopia
Amak     999999 Amak                             -- --  5542 -16315   488  0 Aleutian.Is
Ambang   999999 Ambang                           -- --    75  12442  1795  0 Sulawesi-Indonesia
Ambrym   999999 Ambrym                           -- -- -1625  16812  1334  0 Vanuatu-SW.Pacific
Amukta   999999 Amukta                           -- --  5250 -17125  1066  0 Aleutian_Is
Anatahan 999999 Anatahan                         -- --  1635  14567   790  0 Mariana.Islands
Andahua- 999999 Andahua-Orcopampa                -- -- -1542  -7233  4713  0 Peru
Aniakcha 999999 Aniakchak                        -- --  5688 -15817  1341  0 Alaska.Peninsula
Antisana 999999 Antisana                         -- --   -48  -7814  5753  0 Ecuador
Antuco   999999 Antuco                           -- -- -3741  -7135  2979  0 Chile-C
Aoba     999999 Aoba                             -- -- -1539  16784  1496  0 Vanuatu-SW.Pacific
Aogashim 999999 Aogashima                        -- --  3246  13976   423  0 Izu.Is-Japan
Ararat   999999 Ararat                           -- --  3970   4430  5165  0 Turkey
Ardoukob 999999 Ardoukoba                        -- --  1158   4247   298  0 Djibouti
Arenal   999999 Arenal                           -- --  1046  -8470  1670  0 Costa.Rica
Arhab,_H 999999 Arhab,_Harra_of                  -- --  1563   4408  3100  0 Arabia-S
Arjuno-W 999999 Arjuno-Welirang                  -- --  -773  11258  3343  0 Java
Arxan-Ch 999999 Arxan-Chaihe                     -- --  4745  12080  1677  0 China-E
Asama    999999 Asama                            -- --  3641  13852  2568  0 Honshu-Japan
Ascensio 999999 Ascension                        -- --  -795  -1437   858  0 UK-Atlantic-C
