! VORS.TBL
!
! This table contains aviation VOR points.
!
! The format for the file is given below, with the number of characters in
! parentheses.
! ******************************************************************************
! IF YOU CHANGE THIS TABLE YOU MUST CHECK BOTH THE snap.tbl AND THE coordPts.tbl
! ******************************************************************************
!
!!
! Log:
! G. Krueger/EAI       10/97
! G. Krueger/EAI        3/98	Added and deleted large no. of entries
! G. Krueger/EAI	2/99	Updated several entries from AWC info.
! S. Jacobs/NCEP	11/01	Added Alaskan VOR points	
! B. Yin/SAIC		06/05	Per AWC replace MQT with SAW
! J. Lewis/AWC           7/06   Added HAwaian VOR points
! B. Entwistle/AWC       2/08   Changed 11 VOR points
! J. Lewis/AWC		11/12	Changed VRB to TRV
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!
!STID    STNM   NAME                             ST CO   LAT    LON  ELV PRI
!(8)     (6)    (32)                            (2)(2)   (5)    (6)   (5)(2)
!
YSJ      000395 ST_JOHN                          NB CN  4532  -6588     0  0
HUL      000341 HOULTON                          ME US  4604  -6783     0  0
PQI      000367 PRESQUE_ISLE                     ME US  4677  -6809     0  0
MLT      000183 MILLINOCKET                      ME US  4558  -6852     0  0
BGR      000029 BANGOR                           ME US  4484  -6887     0  0
ACK      000005 NANTUCKET                        MA US  4128  -7003     0  0
ENE      000322 KENNEBUNK                        ME US  4343  -7061     0  0
BOS      000289 BOSTON                           MA US  4236  -7099     0  0
YQB      000391 QUEBEC                           QB CN  4680  -7138     0  0
PVD      000221 PROVIDENCE                       RI US  4172  -7143     0  0
CON      000062 CONCORD                          NH US  4322  -7158     0  0
YSC      000394 SHERBROOKE                       QB CN  4543  -7168     0  0
HTO      000340 EAST_HAMPTON                     NY US  4092  -7232     0  0
MPV      000188 MONTPELIER                       VT US  4422  -7257     0  0
BDL      000287 WINSOR_LOCKS                     CT US  4194  -7269     0  0
PLB      000365 PLATTSBURGH                      NY US  4469  -7352     0  0
JFK      000345 NEW_YORK/JF_KENNEDY              NY US  4063  -7377     0  0
ALB      000012 ALBANY                           NY US  4275  -7380     0  0
CYN      000300 COYLE                            NJ US  3982  -7443     0  0
SAX      000376 SPARTA                           NJ US  4107  -7454     0  0
MSS      000353 MASSENA                          NY US  4491  -7472     0  0
SIE      000377 SEA_ISLE                         NJ US  3910  -7480     0  0
HNK      000338 HANCOCK                          NY US  4206  -7532     0  0
SBY      000242 SALISBURY                        MD US  3835  -7552     0  0
YOW      000390 OTTAWA                           ON CN  4532  -7567     0  0
ETX      000325 EAST_TEXAS                       PA US  4058  -7568     0  0
ECG      000086 ELIZABETH_CITY                   NC US  3625  -7618     0  0
SYR      000259 SYRACUSE                         NY US  4316  -7620     0  0
ORF      000203 NORFOLK                          VA US  3689  -7620     0  0
EMI      000320 WESTMINSTER                      MD US  3950  -7698     0  0
HAR      000126 HARRISBURG                       PA US  4023  -7702     0  0
DCA      000306 WASHINGTON                       DC US  3886  -7704     0  0
RIC      000229 RICHMOND                         VA US  3750  -7732     0  0
CSN      000299 CASSANOVA                        VA US  3864  -7787     0  0
ILM      000135 WILMINGTON                       NC US  3435  -7787     0  0
SLT      000252 SLATE_RUN                        PA US  4151  -7797     0  0
PSB      000368 PHILLIPSBURG                     PA US  4092  -7799     0  0
BUF      000044 BUFFALO                          NY US  4293  -7865     0  0
RDU      000372 RALEIGH-DURHAM                   NC US  3587  -7878     0  0
JST      000145 JOHNSTOWN                        PA US  4032  -7883     0  0
JHW      000346 JAMESTOWN                        NY US  4219  -7912     0  0
LYH      000166 LYNCHBURG                        VA US  3725  -7923     0  0
YYZ      000401 TORONTO                          ON CN  4367  -7963     0  0
FLO      000102 FLORENCE                         SC US  3423  -7966     0  0
GSO      000122 GREENSBORO                       NC US  3605  -7998     0  0
CHS      000056 CHARLESTON                       SC US  3289  -8004     0  0
PBI      000206 WEST_PALM_BEACH                  FL US  2668  -8009     0  0
EKN      000088 ELKINS                           WV US  3892  -8010     0  0
EWC      000326 ELLWOOD_CITY                     PA US  4083  -8021     0  0
ERI      000092 ERIE                             PA US  4202  -8030     0  0
MIA      000176 MIAMI                            FL US  2580  -8030     0  0
TRV      000276 VERO_BEACH                       FL US  2768  -8049     0  0
PSK      000369 DUBLIN                           VA US  3709  -8071     0  0
AIR      000280 BELLAIRE                         OH US  4002  -8082     0  0
CLT      000059 CHARLOTTE                        NC US  3522  -8093     0  0
CAE      000295 COLUMBIA                         SC US  3386  -8105     0  0
YVV      000396 WIARTON                          ON CN  4475  -8110     0  0
SAV      000239 SAVANNAH                         GA US  3216  -8111     0  0
OMN      000363 ORMOND_BEACH                     FL US  2930  -8111     0  0
BKW      000034 BECKLEY                          WV US  3778  -8112     0  0
ORL      000204 ORLANDO                          FL US  2854  -8134     0  0
CRG      000298 JACKSONVILLE                     FL US  3034  -8151     0  0
EYW      000096 KEY_WEST                         FL US  2459  -8180     0  0
RSW      000104 LEE_COUNTY                       FL US  2653  -8178     0  0
SPA      000380 SPARTANBURG                      SC US  3503  -8193     0  0
HNN      000339 HENDERSON                        WV US  3875  -8203     0  0
HMV      000337 HOLSTON_MOUNTAIN                 TN US  3644  -8213     0  0
CLE      000058 CLEVELAND                        OH US  4142  -8185     0  0
IRQ      000344 COLLIERS                         SC US  3371  -8216     0  0
AMG      000015 ALMA                             GA US  3154  -8251     0  0
SRQ      000382 SARASOTA                         FL US  2740  -8255     0  0
APE      000283 APPLETON                         OH US  4015  -8259     0  0
PIE      000212 SAINT_PETERSBURG                 FL US  2791  -8268     0  0
ECK      000316 PECK                             MI US  4326  -8272     0  0
CTY      000066 CROSS_CITY                       FL US  2960  -8305     0  0
ODF      000360 TOCCOA                           GA US  3470  -8330     0  0
DXO      000315 DETROIT                          MI US  4221  -8337     0  0
ASP      000284 OSCODA                           MI US  4445  -8339     0  0
MCN      000170 MACON                            GA US  3269  -8365     0  0
FNT      000328 FLINT                            MI US  4297  -8374     0  0
VXV      000388 KNOXVILLE                        TN US  3590  -8389     0  0
ROD      000373 ROSEWOOD                         OH US  4029  -8404     0  0
MBS      000168 SAGINAW                          MI US  4353  -8408     0  0
LOZ      000160 LONDON                           KY US  3703  -8412     0  0
PZD      000004 PECAN                            GA US  3166  -8429     0  0
SSM      000255 SAULT_STE_MARIE                  MI US  4641  -8431     0  0
TLH      000264 TALLAHASSEE                      FL US  3056  -8437     0  0
ATL      000019 ATLANTA                          GA US  3363  -8444     0  0
CVG      000067 COVINGTON                        KY US  3902  -8470     0  0
GQO      000331 CHATTANOOGA                      TN US  3496  -8515     0  0
FWA      000109 FT_WAYNE                         IN US  4098  -8519     0  0
LGC      000350 LA_GRANGE                        GA US  3305  -8521     0  0
GRR      000332 GRAND_RAPIDS                     MI US  4279  -8550     0  0
TVC      000270 TRAVERSE_CITY                    MI US  4467  -8555     0  0
IIU      000159 LOUISVILLE                       KY US  3810  -8558     0  0
MKG      000179 MUSKEGON                         MI US  4317  -8604     0  0
PMM      000366 PULLMAN                          MI US  4247  -8611     0  0
GIJ      000330 NILES                            MI US  4177  -8632     0  0
MGM      000175 MONTGOMERY                       AL US  3222  -8632     0  0
IND      000136 INDIANAPOLIS                     IN US  3981  -8637     0  0
BWG      000047 BOWLING_GREEN                    KY US  3693  -8644     0  0
BNA      000037 NASHVILLE                        TN US  3614  -8668     0  0
CEW      000052 CRESTVIEW                        FL US  3083  -8668     0  0
VUZ      000387 VULCAN                           AL US  3367  -8690     0  0
BVT      000293 LAFAYETTE                        IN US  4056  -8707     0  0
TTH      000384 TERRE_HAUTE                      IN US  3949  -8725     0  0
MSL      000191 MUSCLE_SHOALS                    AL US  3470  -8748     0  0
SAW      000189 SAWYER                           MI US  4635  -8738     0  0
PXV      000370 POCKET_CITY                      IN US  3793  -8776     0  0
ORD      000202 O'HARE_INTERNATIONAL             IL US  4198  -8790     0  0
GRB      000119 GREEN_BAY                        WI US  4456  -8819     0  0
BAE      000285 MILWAUKEE                        WI US  4312  -8828     0  0
JOT      000348 JOLIET                           IL US  4155  -8832     0  0
SJI      000378 SEMMNES                          AL US  3073  -8836     0  0
IGB      000133 BIGBEE                           MS US  3348  -8852     0  0
MEI      000172 MERIDIAN                         MS US  3238  -8880     0  0
AXC      000070 DECATUR                          IL US  3974  -8886     0  0
YQT      000393 THUNDER_BAY                      ON CN  4837  -8932     0  0
DYR      000083 DYERSBURG                        TN US  3602  -8932     0  0
RHI      000228 RHINELANDER                      WI US  4563  -8945     0  0
BDF      000024 BRADFORD                         IL US  4116  -8959     0  0
DLL      000310 DELLS                            WI US  4355  -8976     0  0
MEM      000173 MEMPHIS                          TN US  3506  -8998     0  0
LEV      000349 GRAND_ISLE                       LA US  2918  -9010     0  0
MHZ      000142 MAGNOLIA                         MS US  3243  -9010     0  0
HRV      000195 HARVEY                           LA US  2985  -9000     0  0
FAM      000097 FARMINGTON                       MO US  3767  -9023     0  0
MCB      000169 MC_COMB                          MS US  3130  -9026     0  0
SQS      000381 SIDON                            MS US  3346  -9028     0  0
STL      000257 ST_LOUIS                         MO US  3886  -9048     0  0
DBQ      000069 DUBUQUE                          IA US  4240  -9071     0  0
ARG      000018 WALNUT_RIDGE                     AR US  3611  -9095     0  0
UIN      000386 QUINCY                           IL US  3985  -9128     0  0
BTR      000042 BATON_ROUGE                      LA US  3048  -9130     0  0
ODI      000361 NODINE                           MN US  4391  -9147     0  0
EAU      000085 EAU_CLAIRE                       WI US  4490  -9148     0  0
IOW      000343 IOWA_CITY                        IA US  4152  -9161     0  0
MLU      000184 MONROE                           LA US  3252  -9203     0  0
LIT      000156 LITTLE_ROCK                      AR US  3468  -9218     0  0
DLH      000075 DULUTH                           MN US  4680  -9220     0  0
COU      000063 COLUMBIA                         MO US  3882  -9222     0  0
AEX      000009 ALEXANDRIA                       LA US  3126  -9250     0  0
IRK      000139 KIRKSVILLE                       MO US  4014  -9259     0  0
ELD      000319 EL_DORADO                        AR US  3326  -9274     0  0
LCH      000154 LAKE_CHARLES                     LA US  3014  -9311     0  0
MSP      000194 MINNEAPOLIS                      MN US  4488  -9323     0  0
MCW      000171 MASON_CITY                       IA US  4309  -9333     0  0
SGF      000245 SPRINGFIELD                      MO US  3736  -9333     0  0
INL      000137 INTERNATIONAL_FALLS              MN US  4857  -9340     0  0
DSM      000079 DES_MOINES                       IA US  4144  -9365     0  0
EIC      000318 SHREVEPORT                       LA US  3277  -9381     0  0
BRD      000292 BRAINERD                         MN US  4635  -9403     0  0
TXK      000272 TEXARKANA                        AR US  3351  -9407     0  0
RZC      000374 RAZORBACK                        AR US  3625  -9412     0  0
FSM      000108 FT_SMITH                         AR US  3538  -9427     0  0
FOD      000105 FT_DODGE                         IA US  4261  -9429     0  0
BUM      000045 BUTLER                           MO US  3827  -9449     0  0
MCI      000177 KANSAS_CITY                      MO US  3929  -9474     0  0
LFK      000155 LUFKIN                           TX US  3116  -9472     0  0
GGG      000115 LONGVIEW                         TX US  3242  -9475     0  0
BJI      000033 BEMIDJI                          MN US  4758  -9502     0  0
RWF      000234 REDWWOD_FALLS                    MN US  4447  -9513     0  0
OSW      000205 OSWEGO                           KS US  3715  -9520     0  0
IAH      000131 HOUSTON_INTERNATIONAL            TX US  2996  -9535     0  0
OVR      000364 OMAHA                            NE US  4117  -9574     0  0
MLC      000180 MC_CALESTER                      OK US  3485  -9578     0  0
TUL      000268 TULSA                            OK US  3620  -9579     0  0
PWE      000222 PAWNEE_CITY                      NE US  4020  -9621     0  0
PSX      000219 PALACIOS                         TX US  2876  -9631     0  0
FSD      000107 SIOUX_FALLS                      SD US  4365  -9678     0  0
FAR      000098 FARGO                            ND US  4675  -9685     0  0
TTT      000072 MAVERICK                         TX US  3287  -9704     0  0
ADM      000008 ARDMORE                          OK US  3421  -9717     0  0
GFK      000114 GRAND_FORKS                      ND US  4795  -9719     0  0
YWG      000397 WINNIPEG                         MB CN  4990  -9723     0  0
ACT      000006 WACO                             TX US  3166  -9727     0  0
BRO      000041 BROWNSVILLE                      TX US  2592  -9738     0  0
CRP      000065 CORPUS_CHRISTI                   TX US  2790  -9745     0  0
ICT      000132 WICHITA                          KS US  3775  -9758     0  0
OKC      000198 OKLAHOMA_CITY                    OK US  3536  -9761     0  0
SLN      000251 SALINA                           KS US  3893  -9762     0  0
CWK      000020 CENTEX                           TX US  3038  -9753     0  0
END      000321 VANCE_AFB                        OK US  3635  -9792     0  0
OBH      000358 WOLBACH                          NE US  4138  -9835     0  0
