! WFO.TBL
!
! This table contains the locations of the Weather Field Offices.
!
! The format for the file is given below, with the number of characters in
! parentheses.
!
!!
! Log:
! S. Jacobs/NCEP	 6/02	Modified the names to match the WFO zone products
! S. Jacobs/NCEP	 5/05	Added Huntsville
!
!STID    STNM   NAME                             ST CO   LAT    LON  ELV PRI
!(8)     (6)    (32)                            (2)(2)   (5)    (6)   (5)(2)
!
ABQ      000050 ALBUQUERQUE                      NM US  3503 -10662     0  0
ABR      000076 ABERDEEN                         SD US  4545  -9841     0  0
AFC      000112 ANCHORAGE                        AK US  6115 -14998     0  0
AFG      000131 FAIRBANKS                        AK US  6485 -14783     0  0
AJK      000128 JUNEAU                           AK US  5837 -13459     0  0
AKQ      000058 WAKEFIELD                        VA US  3698  -7700     0  0
ALY      000126 ALBANY                           NY US  4269  -7383     0  0
AMA      000004 AMARILLO                         TX US  3523 -10170     0  0
APX      000122 GAYLORD                          MI US  4490  -8471     0  0
ARX      000103 LA_CROSSE                        WI US  4382  -9119     0  0
BGM      000032 BINGHAMTON                       NY US  4221  -7598     0  0
BIS      000069 BISMARCK                         ND US  4677 -10075     0  0
BMX      000042 BIRMINGHAM                       AL US  3317  -8678     0  0
BOI      000026 BOISE                            ID US  4356 -11621     0  0
BOU      000127 DENVER                           CO US  4000 -10526     0  0
BOX      000040 TAUNTON                          MA US  4195  -7113     0  0
BRO      000087 BROWNSVILLE                      TX US  2591  -9741     0  0
BTV      000118 BURLINGTON                       VT US  4446  -7315     0  0
BUF      000091 BUFFALO                          NY US  4294  -7871     0  0
BYZ      000109 BILLINGS                         MT US  4575 -10857     0  0
CAE      000035 COLUMBIA                         SC US  3394  -8112     0  0
CAR      000012 CARIBOU                          ME US  4578  -6862     0  0
CHS      000078 CHARLESTON                       SC US  3289  -8002     0  0
CLE      000023 CLEVELAND                        OH US  4141  -8186     0  0
CRP      000116 CORPUS_CHRISTI                   TX US  2777  -9750     0  0
CTP      000033 STATE_COLLEGE                    PA US  4079  -7786     0  0
CYS      000029 CHEYENNE                         WY US  4115 -10480     0  0
DDC      000009 DODGE_CITY                       KS US  3776  -9996     0  0
DLH      000123 DULUTH                           MN US  4683  -9221     0  0
DMX      000027 DES_MOINES                       IA US  4173  -9372     0  0
DTX      000017 DETROIT                          MI US  4268  -8347     0  0
DVN      000084 QUAD_CITIES_IA                   IL US  4161  -9058     0  0
EAX      000043 KANSAS_CITY/PLEASANT_HILL        MO US  3880  -9426     0  0
EKA      000074 EUREKA                           CA US  4080 -12416     0  0
EPZ      000105 EL_PASO_TX/SANTA_TERESA          NM US  3187 -10669     0  0
EWX      000052 AUSTIN/SAN_ANTONIO               TX US  2970  -9802     0  0
KEY      000386 KEY_WEST                         FL US  2455  -8178     0  0
FFC      000054 PEACHTREE_CITY                   GA US  3336  -8456     0  0
FGF      000121 EASTERN_NORTH_DAKOTA             ND US  4792  -9709     0  0
FGZ      000101 FLAGSTAFF                        AZ US  3523 -11182     0  0
FSD      000034 SIOUX_FALLS                      SD US  4358  -9672     0  0
FWD      000041 DALLAS/FORT_WORTH                TX US  3283  -9729     0  0
GGW      000110 GLASGOW                          MT US  4820 -10662     0  0
GID      000018 HASTINGS                         NE US  4064  -9838     0  0
GJT      000098 GRAND_JUNCTION                   CO US  3911 -10852     0  0
GLD      000005 GOODLAND                         KS US  3936 -10170     0  0
GRB      000051 GREEN_BAY                        WI US  4449  -8811     0  0
GRR      000100 GRAND_RAPIDS                     MI US  4289  -8554     0  0
GSP      000095 GREENVILLE/SPARTANBURG           SC US  3488  -8222     0  0
GUA.WFO  000130 GUAM                             GU US  1347  14479     0  0
GYX      000073 GRAY                             ME US  4389  -7025     0  0
HFO      000097 HONOLULU                         HI US  2130 -15781     0  0
HGX      000010 HOUSTON/GALVESTON                TX US  2947  -9507     0  0
HNX      000081 SAN_JOAQUIN_VALLEY/HANFORD       CA US  3631 -11963     0  0
HUN      000133 HUNTSVILLE                       AL US  3472  -8665     0  0
ICT      000014 WICHITA                          KS US  3765  -9744     0  0
ILM      000063 WILMINGTON                       NC US  3427  -7791     0  0
ILN      000060 WILMINGTON                       OH US  3942  -8382     0  0
