PARM = HOUR;PRES;HGHT;TMPC;DWPC;SSTC;SPED;DRCT

STID     DATTIM         HOUR    PRES    HGHT    TMPC    DWPC    SSTC    SPED    DRCT
F0000000 930618/2100 21.8083 1013.72    0.41   17.49   11.84   18.61    0.00  360.00
F0000001 930618/2100 21.8111 1013.69    0.41   17.48   11.92   18.60    0.00  360.00
F0000002 930618/2100 21.8139 1013.72    0.41   17.50   11.89   18.57    0.00  360.00
F0000003 930618/2100 21.8167 1013.72    0.41   17.50   11.88   18.65    0.00  360.00
F0000004 930618/2100 21.8194 1013.72    0.41   17.51   11.90   18.81    0.00  360.00
F0000005 930618/2100 21.8222 1013.72    0.41   17.42   11.84   18.99    0.00  360.00
F0000006 930618/2100 21.8250 1013.75    0.41   17.26   11.80   22.57    0.00  360.00
F0000007 930618/2100 21.8278 1013.85    0.41   17.13   11.79   22.94    0.00  360.00
F0000008 930618/2100 21.8306 1013.85    0.41   17.25   11.79   22.66    0.00  360.00
F0000009 930618/2100 21.8333 1013.92    0.41   17.08   11.81   22.76    0.00  360.00
F0000010 930618/2100 21.8361 1014.02    0.41   17.06   11.80   22.41    0.00  360.00
F0000011 930618/2100 21.8389 1014.02    0.41   17.06   11.82   22.72    0.00  360.00
F0000012 930618/2100 21.8417 1013.99    0.41   17.14   11.78   22.30    0.00  360.00
F0000013 930618/2100 21.8444 1014.02    0.41   17.24   11.76   22.14    0.00  360.00
F0000014 930618/2100 21.8472 1014.16    0.41   17.03   11.74   22.92    0.00  360.00
F0000015 930618/2100 21.8500 1014.19    0.41   17.02   11.75   23.00    0.00  360.00
F0000016 930618/2100 21.8528 1014.40    0.41   17.01   11.73   21.79    0.00  360.00
F0000017 930618/2100 21.8556 1014.36    0.41   16.90   11.80   22.11    0.00  360.00
F0000018 930618/2100 21.8583 1014.46    0.41   16.92   11.88   21.80    0.00  360.00
F0000019 930618/2100 21.8611 1014.50    0.41   16.89   11.95   22.00    0.00  360.00
F0000020 930618/2100 21.8639 1014.56    0.41   16.95   12.03   22.41    0.00  360.00
F0000021 930618/2100 21.8667 1014.60    0.41   16.89   12.07   21.98    0.00  360.00
F0000022 930618/2100 21.8694 1014.73    0.41   16.90   12.10   21.46    0.00  360.00
F0000023 930618/2100 21.8722 1014.80    0.41   16.85   12.09   22.30    0.00  360.00
F0000024 930618/2100 21.8750 1014.87    0.41   16.82   12.13   22.55    0.00  360.00
F0000025 930618/2100 21.8778 1014.94    0.41   16.82   12.15   21.95    0.00  360.00
F0000026 930618/2100 21.8806 1015.01    0.41   16.91   12.15   22.19    0.00  360.00
F0000027 930618/2100 21.8833 1015.11    0.41   16.76   12.20   22.37    0.00  360.00
